ranked_position,selected_rank,disposition,representative_system_id,regime_idx,param_idx,mn_idx,geometry_idx,d_pos,d_neg,steepness_pos,steepness_neg,M,N,roc_auc,pr_auc
938,,after_candidate_limit,,2034,81,9,81,13.89,8.33,1.33,3.67,2,15,0.9427617224880382,0.4761325379663126
939,,after_candidate_limit,,500,20,0,20,11.67,5.25,3,4.5,1,1,0.9426875598086124,0.4802410640941665
940,,after_candidate_limit,,705,28,5,28,12.78,11.5,0.5,0.75,2,1,0.9426555023923445,0.5020280521214151
941,,after_candidate_limit,,580,23,5,23,11.67,7,0.5,2,2,1,0.9426114832535886,0.5073081778212147
942,,after_candidate_limit,,2056,82,6,82,13.89,8.33,2.17,3.25,2,2,0.9425942583732058,0.5001586192456443
943,,after_candidate_limit,,530,21,5,21,11.67,7,0.5,0.75,2,1,0.9425933014354066,0.5100748971573212
944,,after_candidate_limit,,555,22,5,22,11.67,7,0.5,1.38,2,1,0.9425856459330143,0.5063726464217506
945,,after_candidate_limit,,150,6,0,6,11.67,10.5,3,4.5,1,1,0.9423822966507177,0.4728430354320927
946,,after_candidate_limit,,1705,68,5,68,13.89,4.17,2.17,3.25,2,1,0.9423157894736842,0.4918715230137733
947,,after_candidate_limit,,151,6,1,6,11.67,10.5,3,4.5,1,2,0.9422416267942584,0.4678942062226502
948,,after_candidate_limit,,152,6,2,6,11.67,10.5,3,4.5,1,3,0.9422320574162679,0.4714484961350313
949,,after_candidate_limit,,2057,82,7,82,13.89,8.33,2.17,3.25,2,3,0.9421473684210526,0.4922048541432582
950,,after_candidate_limit,,325,13,0,13,11.67,3.5,3,4.5,1,1,0.9420435406698564,0.4709192398777191
951,,after_candidate_limit,,153,6,3,6,11.67,10.5,3,4.5,1,8,0.9420377990430622,0.4695264433103904
952,,after_candidate_limit,,1534,61,9,61,13.89,12.5,2.17,3.25,2,15,0.9419904306220096,0.48906066574033885
953,,after_candidate_limit,,676,27,1,27,11.67,7,3,4.5,1,2,0.9419028708133971,0.4691609367842845
954,,after_candidate_limit,,1881,75,6,75,13.89,6.25,2.17,3.25,2,2,0.9418363636363636,0.487726616343012
955,,after_candidate_limit,,501,20,1,20,11.67,5.25,3,4.5,1,2,0.9417928229665071,0.4683142852856721
956,,after_candidate_limit,,1882,75,7,75,13.89,6.25,2.17,3.25,2,3,0.9417167464114833,0.487093012459274
957,,after_candidate_limit,,1706,68,6,68,13.89,4.17,2.17,3.25,2,2,0.9416995215311005,0.48501700138260734
958,,after_candidate_limit,,2180,87,5,87,15,13.5,1.33,2,2,1,0.9416822966507177,0.48801334360037807
959,,after_candidate_limit,,502,20,2,20,11.67,5.25,3,4.5,1,3,0.9416732057416268,0.4666308560300363
960,,after_candidate_limit,,355,14,5,14,11.67,5.25,0.5,0.75,2,1,0.9416354066985646,0.49749252136065053
961,,after_candidate_limit,,677,27,2,27,11.67,7,3,4.5,1,3,0.9416205741626794,0.46599712770216917
962,,after_candidate_limit,,326,13,1,13,11.67,3.5,3,4.5,1,2,0.9415842105263158,0.4657037292179562
963,,after_candidate_limit,,380,15,5,15,11.67,5.25,0.5,1.38,2,1,0.9415464114832536,0.4912873915532807
964,,after_candidate_limit,,730,29,5,29,12.78,11.5,0.5,1.38,2,1,0.941532057416268,0.49369578667450364
965,,after_candidate_limit,,405,16,5,16,11.67,5.25,0.5,2,2,1,0.9415282296650718,0.48985161100566693
966,,after_candidate_limit,,1707,68,7,68,13.89,4.17,2.17,3.25,2,3,0.9414813397129187,0.48323382995762776
