evaluation_verdicts,loser,verdict,winner
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2625,not_supported,old_monoallelic__roc__regime_2327
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2626,not_supported,old_monoallelic__roc__regime_2327
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2628,not_supported,old_monoallelic__roc__regime_2327
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2652,not_supported,old_monoallelic__roc__regime_2327
"{""nci"":""supported""}",old_monoallelic__roc__regime_2679,supported,old_monoallelic__roc__regime_2327
"{""nci"":""supported""}",old_monoallelic__roc__regime_1225,supported,old_monoallelic__roc__regime_2450
"{""nci"":""supported""}",old_monoallelic__roc__regime_1575,supported,old_monoallelic__roc__regime_2450
"{""nci"":""supported""}",old_monoallelic__roc__regime_1750,supported,old_monoallelic__roc__regime_2450
"{""nci"":""supported""}",old_monoallelic__roc__regime_1925,supported,old_monoallelic__roc__regime_2450
"{""nci"":""supported""}",old_monoallelic__roc__regime_1926,supported,old_monoallelic__roc__regime_2450
"{""nci"":""supported""}",old_monoallelic__roc__regime_2154,supported,old_monoallelic__roc__regime_2450
"{""nci"":""supported""}",old_monoallelic__roc__regime_2275,supported,old_monoallelic__roc__regime_2450
"{""nci"":""supported""}",old_monoallelic__roc__regime_2276,supported,old_monoallelic__roc__regime_2450
"{""nci"":""supported""}",old_monoallelic__roc__regime_2278,supported,old_monoallelic__roc__regime_2450
"{""nci"":""supported""}",old_monoallelic__roc__regime_2279,supported,old_monoallelic__roc__regime_2450
"{""nci"":""supported""}",old_monoallelic__roc__regime_2327,supported,old_monoallelic__roc__regime_2450
"{""nci"":""supported""}",old_monoallelic__roc__regime_2451,supported,old_monoallelic__roc__regime_2450
"{""nci"":""supported""}",old_monoallelic__roc__regime_2452,supported,old_monoallelic__roc__regime_2450
"{""nci"":""supported""}",old_monoallelic__roc__regime_2503,supported,old_monoallelic__roc__regime_2450
"{""nci"":""supported""}",old_monoallelic__roc__regime_2625,supported,old_monoallelic__roc__regime_2450
"{""nci"":""supported""}",old_monoallelic__roc__regime_2626,supported,old_monoallelic__roc__regime_2450
"{""nci"":""supported""}",old_monoallelic__roc__regime_2628,supported,old_monoallelic__roc__regime_2450
"{""nci"":""supported""}",old_monoallelic__roc__regime_2652,supported,old_monoallelic__roc__regime_2450
"{""nci"":""supported""}",old_monoallelic__roc__regime_2679,supported,old_monoallelic__roc__regime_2450
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1225,not_supported,old_monoallelic__roc__regime_2451
"{""nci"":""supported""}",old_monoallelic__roc__regime_1575,supported,old_monoallelic__roc__regime_2451
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1750,not_supported,old_monoallelic__roc__regime_2451
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1925,not_supported,old_monoallelic__roc__regime_2451
"{""nci"":""supported""}",old_monoallelic__roc__regime_1926,supported,old_monoallelic__roc__regime_2451
"{""nci"":""supported""}",old_monoallelic__roc__regime_2154,supported,old_monoallelic__roc__regime_2451
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2275,not_supported,old_monoallelic__roc__regime_2451
"{""nci"":""supported""}",old_monoallelic__roc__regime_2276,supported,old_monoallelic__roc__regime_2451
"{""nci"":""supported""}",old_monoallelic__roc__regime_2278,supported,old_monoallelic__roc__regime_2451
"{""nci"":""supported""}",old_monoallelic__roc__regime_2279,supported,old_monoallelic__roc__regime_2451
"{""nci"":""supported""}",old_monoallelic__roc__regime_2327,supported,old_monoallelic__roc__regime_2451
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2450,not_supported,old_monoallelic__roc__regime_2451
"{""nci"":""supported""}",old_monoallelic__roc__regime_2452,supported,old_monoallelic__roc__regime_2451
"{""nci"":""supported""}",old_monoallelic__roc__regime_2503,supported,old_monoallelic__roc__regime_2451
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2625,not_supported,old_monoallelic__roc__regime_2451
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2626,not_supported,old_monoallelic__roc__regime_2451
"{""nci"":""supported""}",old_monoallelic__roc__regime_2628,supported,old_monoallelic__roc__regime_2451
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_2652,not_supported,old_monoallelic__roc__regime_2451
"{""nci"":""supported""}",old_monoallelic__roc__regime_2679,supported,old_monoallelic__roc__regime_2451
"{""nci"":""not_supported""}",old_monoallelic__roc__regime_1225,not_supported,old_monoallelic__roc__regime_2452
