ranked_position,selected_rank,disposition,representative_system_id,regime_idx,param_idx,mn_idx,geometry_idx,d_pos,d_neg,steepness_pos,steepness_neg,M,N,roc_auc,pr_auc
2417,,after_candidate_limit,,2348,93,23,93,15,4.5,0.5,2,20,8,0.9053995215311005,0.3784812782941717
2418,,after_candidate_limit,,2349,93,24,93,15,4.5,0.5,2,20,15,0.9053995215311005,0.3784812782941717
2419,,after_candidate_limit,,2474,98,24,98,15,6.75,0.5,0.75,20,15,0.9053995215311005,0.3784812782941717
2420,,after_candidate_limit,,2499,99,24,99,15,6.75,0.5,1.38,20,15,0.9053995215311005,0.3784812782941717
2421,,after_candidate_limit,,2524,100,24,100,15,6.75,0.5,2,20,15,0.9053995215311005,0.3784812782941717
2422,,after_candidate_limit,,1920,76,20,76,13.89,6.25,3,4.5,20,1,0.8563956937799043,0.37838046979403556
2423,,after_candidate_limit,,1670,66,20,66,13.89,4.17,1.33,2,20,1,0.8828980861244019,0.37834371093101143
2424,,after_candidate_limit,,1797,71,22,71,13.89,6.25,0.5,1.38,20,3,0.9047014354066986,0.3782491574816758
2425,,after_candidate_limit,,2396,95,21,95,15,4.5,1.33,3.67,20,2,0.9007191387559809,0.3781747198407547
2426,,after_candidate_limit,,2621,104,21,104,15,6.75,3,4.5,20,2,0.8850200956937799,0.3780274658666021
2427,,after_candidate_limit,,162,6,12,6,11.67,10.5,3,4.5,3,3,0.8984267942583732,0.3779370168475021
2428,,after_candidate_limit,,690,27,15,27,11.67,7,3,4.5,6,1,0.8630483253588517,0.3779007115865417
2429,,after_candidate_limit,,1543,61,18,61,13.89,12.5,2.17,3.25,6,8,0.8858952153110048,0.3778558735401743
2430,,after_candidate_limit,,3720,148,20,148,9.44,4.25,0.5,1.38,20,1,0.8583,0.3777582332231676
2431,,after_candidate_limit,,1597,63,22,63,13.89,4.17,0.5,0.75,20,3,0.9044942583732057,0.3777181585998595
2432,,after_candidate_limit,,543,21,18,21,11.67,7,0.5,0.75,6,8,0.902922009569378,0.37766015629519134
2433,,after_candidate_limit,,3887,155,12,155,9.44,5.66,0.5,1.38,3,3,0.9134004784688995,0.3776449753457123
2434,,after_candidate_limit,,1367,54,17,54,12.78,7.67,2.17,3.25,6,3,0.8796875598086125,0.3776421777711393
2435,,after_candidate_limit,,1535,61,10,61,13.89,12.5,2.17,3.25,3,1,0.9041598086124402,0.37762286185022254
2436,,after_candidate_limit,,3711,148,11,148,9.44,4.25,0.5,1.38,3,2,0.9134215311004785,0.37756473056175005
2437,,after_candidate_limit,,3862,154,12,154,9.44,5.66,0.5,0.75,3,3,0.9134282296650718,0.3775508700687927
2438,,after_candidate_limit,,2547,101,22,101,15,6.75,1.33,2,20,3,0.9006655502392344,0.3775132047951923
2439,,after_candidate_limit,,2699,107,24,107,15,9,0.5,2,20,15,0.9053894736842105,0.3774473575734961
2440,,after_candidate_limit,,3912,156,12,156,9.44,5.66,0.5,2,3,3,0.913399043062201,0.3774066471393455
2441,,after_candidate_limit,,121,4,21,4,11.67,10.5,1.33,3.67,20,2,0.8223344497607655,0.3773727425927428
2442,,after_candidate_limit,,2420,96,20,96,15,4.5,2.17,3.25,20,1,0.8665631578947368,0.37715487652118546
2443,,after_candidate_limit,,3736,149,11,149,9.44,4.25,0.5,2,3,2,0.9134196172248804,0.3771110663740523
2444,,after_candidate_limit,,3520,140,20,140,9.44,2.83,0.5,0.75,20,1,0.8581574162679426,0.37705030521523075
2445,,after_candidate_limit,,1321,52,21,52,12.78,7.67,1.33,2,20,2,0.8789555023923445,0.3769244738748684
2446,,after_candidate_limit,,2397,95,22,95,15,4.5,1.33,3.67,20,3,0.9005038277511962,0.3767771331579423
2447,,after_candidate_limit,,1647,65,22,65,13.89,4.17,0.5,2,20,3,0.904488038277512,0.3767194345011654
2448,,after_candidate_limit,,2372,94,22,94,15,4.5,1.33,2,20,3,0.9004923444976076,0.376644136853735
2449,,after_candidate_limit,,2572,102,22,102,15,6.75,1.33,3.67,20,3,0.9006578947368421,0.37663214340736934
2450,,after_candidate_limit,,1622,64,22,64,13.89,4.17,0.5,1.38,20,3,0.9044784688995215,0.37661586772030364
2451,,after_candidate_limit,,3945,157,20,157,9.44,5.66,1.33,2,20,1,0.8183875598086124,0.37637821055623866
2452,,after_candidate_limit,,445,17,20,17,11.67,5.25,1.33,2,20,1,0.8620071770334928,0.3763308139780473
2453,,after_candidate_limit,,2022,80,22,80,13.89,8.33,1.33,2,20,3,0.8797856459330143,0.3763183794068589
2454,,after_candidate_limit,,568,22,18,22,11.67,7,0.5,1.38,6,8,0.9029224880382775,0.37624171363066966
2455,,after_candidate_limit,,593,23,18,23,11.67,7,0.5,2,6,8,0.9029229665071771,0.3761240576157048
2456,,after_candidate_limit,,1322,52,22,52,12.78,7.67,1.33,2,20,3,0.8848502392344497,0.37611186580254496
2457,,after_candidate_limit,,1347,53,22,53,12.78,7.67,1.33,3.67,20,3,0.8848215311004785,0.3760856412885018
2458,,after_candidate_limit,,663,26,13,26,11.67,7,2.17,3.25,3,8,0.8943205741626794,0.3760570104411206
2459,,after_candidate_limit,,665,26,15,26,11.67,7,2.17,3.25,6,1,0.8509698564593301,0.37602604271203316
2460,,after_candidate_limit,,1392,55,17,55,12.78,7.67,3,4.5,6,3,0.8794813397129186,0.3760236194589125
2461,,after_candidate_limit,,3687,147,12,147,9.44,4.25,0.5,0.75,3,3,0.9132052631578947,0.37594083082351076
2462,,after_candidate_limit,,3955,158,5,158,9.44,5.66,1.33,3.67,2,1,0.8939081339712919,0.375868421536642
