effect_level,observed_pair_survival,anchored_nested_survival
-0.29801512825122,1.0,0.99978021978022
-0.2963445088335569,1.0,0.99978021978022
-0.2946738894158938,1.0,0.99978021978022
-0.2930032699982306,1.0,0.99978021978022
-0.2913326505805675,1.0,0.99978021978022
-0.2896620311629044,1.0,0.99978021978022
-0.2879914117452413,1.0,0.99978021978022
-0.2863207923275781,1.0,0.99978021978022
-0.284650172909915,1.0,0.99978021978022
-0.2829795534922519,1.0,0.99978021978022
-0.2813089340745888,1.0,0.99978021978022
-0.2796383146569256,1.0,0.99978021978022
-0.2779676952392625,1.0,0.99978021978022
-0.2762970758215994,1.0,0.99978021978022
-0.2746264564039363,1.0,0.99978021978022
-0.2729558369862731,1.0,0.99978021978022
-0.27128521756861,1.0,0.99978021978022
-0.2696145981509469,1.0,0.99978021978022
-0.2679439787332838,1.0,0.99978021978022
-0.2662733593156207,1.0,0.99978021978022
-0.2646027398979575,1.0,0.99978021978022
-0.2629321204802944,1.0,0.99978021978022
-0.2612615010626313,1.0,0.99978021978022
-0.25959088164496813,1.0,0.99978021978022
-0.257920262227305,1.0,0.99978021978022
-0.2562496428096419,1.0,0.999560463980464
-0.2545790233919788,1.0,0.999560463980464
-0.2529084039743157,1.0,0.999560463980464
-0.2512377845566525,1.0,0.9993418124812096
-0.2495671651389894,1.0,0.9993418124812096
-0.2478965457213263,1.0,0.9993418124812096
-0.24622592630366316,1.0,0.9993418124812096
-0.24455530688600005,1.0,0.9993418124812096
-0.2428846874683369,1.0,0.9993418124812096
-0.2412140680506738,1.0,0.9993418124812096
-0.23954344863301066,1.0,0.9993418124812096
-0.23787282921534755,1.0,0.9991231851571687
-0.23620220979768441,1.0,0.9989056620115321
-0.2345315903800213,1.0,0.9989056620115321
-0.2328609709623582,1.0,0.9986892430442996
-0.23119035154469506,1.0,0.9986892430442996
-0.22951973212703192,1.0,0.9982564765403027
-0.2278491127093688,1.0,0.9982564765403027
-0.2261784932917057,1.0,0.9980401286409468
-0.22450787387404256,1.0,0.9980401286409468
-0.22283725445637942,1.0,0.9976107442896741
-0.2211666350387163,1.0,0.9971836138670048
-0.2194960156210532,1.0,0.9971836138670048
-0.21782539620339006,1.0,0.996970623473421
-0.21615477678572692,1.0,0.996970623473421
-0.2144841573680638,1.0,0.9967587366570059
-0.2128135379504007,1.0,0.9965468725728394
-0.21114291853273756,1.0,0.9961264547808222
-0.20947229911507442,1.0,0.9961264547808222
-0.2078016796974113,1.0,0.9959157390297892
-0.2061310602797482,1.0,0.9954997794760985
-0.2044604408620851,1.0,0.9952934547107396
-0.20278982144442195,1.0,0.9950839082639316
-0.20111920202675881,1.0,0.9948754646931594
-0.1994485826090957,1.0,0.9940397723445211
-0.1977779631914326,1.0,0.9934288897855006
-0.19610734377376945,1.0,0.9930048356791227
-0.19443672435610632,1.0,0.9930048356791227
-0.1927661049384432,1.0,0.992178576191281
-0.1910954855207801,1.0,0.9917774491714806
-0.18942486610311696,1.0,0.9917774491714806
-0.18775424668545382,1.0,0.9913796484012272
-0.1860836272677907,1.0,0.991180237338144
-0.1844130078501276,1.0,0.991180237338144
-0.18274238843246446,1.0,0.9907847203677191
-0.18107176901480132,1.0,0.9897828212555773
-0.1794011495971382,1.0,0.9893940739369721
-0.1777305301794751,1.0,0.9892002700126682
-0.17605991076181196,1.0,0.9888159656400431
-0.17438929134414882,1.0,0.9884328187572131
-0.1727186719264857,1.0,0.9880508283985009
-0.1710480525088226,1.0,0.9872676934084156
-0.16937743309115946,1.0,0.9870805898403117
-0.16770681367349635,1.0,0.9864870536297987
-0.1660361942558332,1.0,0.9859325144087612
-0.1643655748381701,1.0,0.9848336489344459
-0.16269495542050696,1.0,0.9842569921289651
-0.16102433600284385,1.0,0.9840755847237983
-0.15935371658518072,1.0,0.9827136670023411
-0.1576830971675176,1.0,0.9814485881484659
-0.15601247774985447,1.0,0.9799129861171042
