evaluation_id,exact_vector_identical,rank_equivalent,system_a,system_b
nci,false,false,full_hla__pr__regime_1950,full_hla__pr__regime_2450
nci,false,false,full_hla__pr__regime_1950,full_hla__pr__regime_2451
nci,false,false,full_hla__pr__regime_1950,full_hla__pr__regime_2505
nci,false,false,full_hla__pr__regime_1950,full_hla__pr__regime_2625
nci,false,false,full_hla__pr__regime_1950,full_hla__pr__regime_2676
nci,false,false,full_hla__pr__regime_1950,full_hla__pr__regime_2677
nci,false,false,full_hla__pr__regime_1950,full_hla__pr__regime_2680
nci,false,false,full_hla__pr__regime_1950,full_hla__pr__regime_2681
nci,false,false,full_hla__pr__regime_1950,full_hla__pr__regime_725
nci,false,false,full_hla__pr__regime_2100,full_hla__pr__regime_2126
nci,false,false,full_hla__pr__regime_2100,full_hla__pr__regime_2153
nci,false,false,full_hla__pr__regime_2100,full_hla__pr__regime_2154
nci,false,false,full_hla__pr__regime_2100,full_hla__pr__regime_2275
nci,false,false,full_hla__pr__regime_2100,full_hla__pr__regime_2450
nci,false,false,full_hla__pr__regime_2100,full_hla__pr__regime_2451
nci,false,false,full_hla__pr__regime_2100,full_hla__pr__regime_2505
nci,false,false,full_hla__pr__regime_2100,full_hla__pr__regime_2625
nci,false,false,full_hla__pr__regime_2100,full_hla__pr__regime_2676
nci,false,false,full_hla__pr__regime_2100,full_hla__pr__regime_2677
nci,false,false,full_hla__pr__regime_2100,full_hla__pr__regime_2680
nci,false,false,full_hla__pr__regime_2100,full_hla__pr__regime_2681
nci,false,false,full_hla__pr__regime_2100,full_hla__pr__regime_725
nci,false,false,full_hla__pr__regime_2126,full_hla__pr__regime_2153
nci,false,false,full_hla__pr__regime_2126,full_hla__pr__regime_2154
nci,false,false,full_hla__pr__regime_2126,full_hla__pr__regime_2275
nci,false,false,full_hla__pr__regime_2126,full_hla__pr__regime_2450
nci,false,false,full_hla__pr__regime_2126,full_hla__pr__regime_2451
nci,false,false,full_hla__pr__regime_2126,full_hla__pr__regime_2505
nci,false,false,full_hla__pr__regime_2126,full_hla__pr__regime_2625
nci,false,false,full_hla__pr__regime_2126,full_hla__pr__regime_2676
nci,false,false,full_hla__pr__regime_2126,full_hla__pr__regime_2677
nci,false,false,full_hla__pr__regime_2126,full_hla__pr__regime_2680
nci,false,false,full_hla__pr__regime_2126,full_hla__pr__regime_2681
nci,false,false,full_hla__pr__regime_2126,full_hla__pr__regime_725
nci,false,false,full_hla__pr__regime_2153,full_hla__pr__regime_2154
nci,false,false,full_hla__pr__regime_2153,full_hla__pr__regime_2275
nci,false,false,full_hla__pr__regime_2153,full_hla__pr__regime_2450
nci,false,false,full_hla__pr__regime_2153,full_hla__pr__regime_2451
nci,false,false,full_hla__pr__regime_2153,full_hla__pr__regime_2505
nci,false,false,full_hla__pr__regime_2153,full_hla__pr__regime_2625
nci,false,false,full_hla__pr__regime_2153,full_hla__pr__regime_2676
nci,false,false,full_hla__pr__regime_2153,full_hla__pr__regime_2677
nci,false,false,full_hla__pr__regime_2153,full_hla__pr__regime_2680
nci,false,false,full_hla__pr__regime_2153,full_hla__pr__regime_2681
nci,false,false,full_hla__pr__regime_2153,full_hla__pr__regime_725
nci,false,false,full_hla__pr__regime_2154,full_hla__pr__regime_2275
nci,false,false,full_hla__pr__regime_2154,full_hla__pr__regime_2450
nci,false,false,full_hla__pr__regime_2154,full_hla__pr__regime_2451
nci,false,false,full_hla__pr__regime_2154,full_hla__pr__regime_2505
nci,false,false,full_hla__pr__regime_2154,full_hla__pr__regime_2625
nci,false,false,full_hla__pr__regime_2154,full_hla__pr__regime_2676
nci,false,false,full_hla__pr__regime_2154,full_hla__pr__regime_2677
nci,false,false,full_hla__pr__regime_2154,full_hla__pr__regime_2680
nci,false,false,full_hla__pr__regime_2154,full_hla__pr__regime_2681
nci,false,false,full_hla__pr__regime_2154,full_hla__pr__regime_725
nci,false,false,full_hla__pr__regime_2275,full_hla__pr__regime_2450
nci,false,false,full_hla__pr__regime_2275,full_hla__pr__regime_2451
nci,false,false,full_hla__pr__regime_2275,full_hla__pr__regime_2505
nci,false,false,full_hla__pr__regime_2275,full_hla__pr__regime_2625
nci,false,false,full_hla__pr__regime_2275,full_hla__pr__regime_2676
nci,false,false,full_hla__pr__regime_2275,full_hla__pr__regime_2677
nci,false,false,full_hla__pr__regime_2275,full_hla__pr__regime_2680
nci,false,false,full_hla__pr__regime_2275,full_hla__pr__regime_2681
nci,false,false,full_hla__pr__regime_2275,full_hla__pr__regime_725
nci,false,false,full_hla__pr__regime_2450,full_hla__pr__regime_2451
nci,false,false,full_hla__pr__regime_2450,full_hla__pr__regime_2505
nci,false,false,full_hla__pr__regime_2450,full_hla__pr__regime_2625
nci,false,false,full_hla__pr__regime_2450,full_hla__pr__regime_2676
nci,false,false,full_hla__pr__regime_2450,full_hla__pr__regime_2677
nci,false,false,full_hla__pr__regime_2450,full_hla__pr__regime_2680
nci,false,false,full_hla__pr__regime_2450,full_hla__pr__regime_2681
nci,false,false,full_hla__pr__regime_2450,full_hla__pr__regime_725
nci,false,false,full_hla__pr__regime_2451,full_hla__pr__regime_2505
nci,false,false,full_hla__pr__regime_2451,full_hla__pr__regime_2625
nci,false,false,full_hla__pr__regime_2451,full_hla__pr__regime_2676
nci,false,false,full_hla__pr__regime_2451,full_hla__pr__regime_2677
nci,false,false,full_hla__pr__regime_2451,full_hla__pr__regime_2680
nci,false,false,full_hla__pr__regime_2451,full_hla__pr__regime_2681
nci,false,false,full_hla__pr__regime_2451,full_hla__pr__regime_725
nci,false,false,full_hla__pr__regime_2505,full_hla__pr__regime_2625
nci,false,false,full_hla__pr__regime_2505,full_hla__pr__regime_2676
nci,false,false,full_hla__pr__regime_2505,full_hla__pr__regime_2677
nci,false,false,full_hla__pr__regime_2505,full_hla__pr__regime_2680
nci,false,false,full_hla__pr__regime_2505,full_hla__pr__regime_2681
nci,false,false,full_hla__pr__regime_2505,full_hla__pr__regime_725
nci,false,false,full_hla__pr__regime_2625,full_hla__pr__regime_2676
nci,false,false,full_hla__pr__regime_2625,full_hla__pr__regime_2677
nci,false,false,full_hla__pr__regime_2625,full_hla__pr__regime_2680
nci,false,false,full_hla__pr__regime_2625,full_hla__pr__regime_2681
nci,false,false,full_hla__pr__regime_2625,full_hla__pr__regime_725
nci,false,false,full_hla__pr__regime_2676,full_hla__pr__regime_2677
nci,false,false,full_hla__pr__regime_2676,full_hla__pr__regime_2680
nci,false,false,full_hla__pr__regime_2676,full_hla__pr__regime_2681
nci,false,false,full_hla__pr__regime_2676,full_hla__pr__regime_725
nci,false,false,full_hla__pr__regime_2677,full_hla__pr__regime_2680
nci,false,false,full_hla__pr__regime_2677,full_hla__pr__regime_2681
nci,false,false,full_hla__pr__regime_2677,full_hla__pr__regime_725
nci,false,false,full_hla__pr__regime_2680,full_hla__pr__regime_2681
nci,false,false,full_hla__pr__regime_2680,full_hla__pr__regime_725
nci,false,false,full_hla__pr__regime_2681,full_hla__pr__regime_725
