endpoint_id,score_focal_hla__logmeanexp,score_focal_hla__logsumexp,score_focal_hla__max,score_focal_hla__mean,score_focal_hla__median,score_focal_hla__top_frac_mean_frac0p01,score_focal_hla__top_frac_mean_frac0p02,score_focal_hla__top_frac_mean_frac0p05,score_focal_hla__top_k_logsumexp_k10,score_focal_hla__top_k_logsumexp_k2,score_focal_hla__top_k_mean_k2,score_focal_hla__top_k_mean_k3,score_full_hla__logmeanexp,score_full_hla__logsumexp,score_full_hla__max,score_full_hla__mean,score_full_hla__median,score_full_hla__top_frac_mean_frac0p01,score_full_hla__top_frac_mean_frac0p02,score_full_hla__top_frac_mean_frac0p05,score_full_hla__top_k_logsumexp_k10,score_full_hla__top_k_logsumexp_k2,score_full_hla__top_k_mean_k2,score_full_hla__top_k_mean_k3,score_full_q_mono_pn__logmeanexp,score_full_q_mono_pn__logsumexp,score_full_q_mono_pn__max,score_full_q_mono_pn__mean,score_full_q_mono_pn__median,score_full_q_mono_pn__top_frac_mean_frac0p01,score_full_q_mono_pn__top_frac_mean_frac0p02,score_full_q_mono_pn__top_frac_mean_frac0p05,score_full_q_mono_pn__top_k_logsumexp_k10,score_full_q_mono_pn__top_k_logsumexp_k2,score_full_q_mono_pn__top_k_mean_k2,score_full_q_mono_pn__top_k_mean_k3,score_mono_q_full_pn__logmeanexp,score_mono_q_full_pn__logsumexp,score_mono_q_full_pn__max,score_mono_q_full_pn__mean,score_mono_q_full_pn__median,score_mono_q_full_pn__top_frac_mean_frac0p01,score_mono_q_full_pn__top_frac_mean_frac0p02,score_mono_q_full_pn__top_frac_mean_frac0p05,score_mono_q_full_pn__top_k_logsumexp_k10,score_mono_q_full_pn__top_k_logsumexp_k2,score_mono_q_full_pn__top_k_mean_k2,score_mono_q_full_pn__top_k_mean_k3,score_old_monoallelic__logmeanexp,score_old_monoallelic__logsumexp,score_old_monoallelic__max,score_old_monoallelic__mean,score_old_monoallelic__median,score_old_monoallelic__top_frac_mean_frac0p01,score_old_monoallelic__top_frac_mean_frac0p02,score_old_monoallelic__top_frac_mean_frac0p05,score_old_monoallelic__top_k_logsumexp_k10,score_old_monoallelic__top_k_logsumexp_k2,score_old_monoallelic__top_k_mean_k2,score_old_monoallelic__top_k_mean_k3
covid_spike.120758a7da46292efdf0dee9423d0c2e14d8d4b9a42b1852865f8d9d6b3ceb7b,-4.332623,0.23172536,-0.5312659,-26.303688,-27.631021,-0.5312659,-0.63730836,-2.1462255,0.23172536,0.061450843,-0.63730836,-1.0647109,-4.2950864,0.26926175,-0.53144425,-26.30024,-27.631021,-0.53144425,-0.6376966,-2.0800023,0.26926175,0.061084777,-0.6376966,-0.97317415,-4.5762353,-0.01188721,-0.8931696,-26.311043,-27.631021,-0.8931696,-0.9929701,-2.2874217,-0.01188721,-0.29485112,-0.9929701,-1.2074363,-3.6295936,0.93475467,-0.19156575,-26.245182,-27.631021,-0.19156575,-0.23151174,-1.0228972,0.93475467,0.46243307,-0.23151174,-0.3031186,-3.6180933,0.94625497,-0.17929156,-26.244581,-27.631021,-0.17929156,-0.21901709,-1.0113739,0.94625497,0.47491893,-0.21901709,-0.29158133
covid_spike.120f9564cb894f6c77e093d9d4b03724e46227feec0c4ae154e74e04a4dfe1c4,-8.410151,-5.232096,-5.232096,-26.697733,-27.631021,-5.232096,-5.232096,-16.431559,-5.232096,-5.232096,-16.431559,-20.164713,-7.7807693,-4.6027155,-4.6027155,-26.671509,-27.631021,-4.6027155,-4.6027155,-16.116869,-4.6027155,-4.6027155,-16.116869,-19.95492,-7.2321196,-4.0540657,-4.0540657,-26.64865,-27.631021,-4.0540657,-4.0540657,-15.842544,-4.0540657,-4.0540657,-15.842544,-19.772036,-6.123955,-2.9459012,-2.9459012,-26.602474,-27.631021,-2.9459012,-2.9459012,-15.288462,-2.9459012,-2.9459012,-15.288462,-19.402649,-5.5742846,-2.396231,-2.396231,-26.579573,-27.631021,-2.396231,-2.396231,-15.013626,-2.396231,-2.396231,-15.013626,-19.219425
covid_spike.122beba0f4049f9f88c55f1c90136de2f27bc3a3e25286380e15f0fd886d0037,-9.926506,-5.4491696,-5.594398,-26.961517,-27.631021,-5.594398,-6.538516,-15.847753,-5.4491696,-5.4534726,-6.538516,-7.99224,-9.610609,-5.1332726,-5.5776024,-26.911415,-27.631021,-5.5776024,-6.0120316,-14.965943,-5.1332726,-5.227347,-6.0120316,-6.5225577,-9.712786,-5.2354493,-5.5654016,-26.925104,-27.631021,-5.5654016,-6.103113,-15.20689,-5.2354493,-5.2718716,-6.103113,-6.9241357,-7.9138336,-3.4364965,-3.9242866,-26.84917,-27.631021,-3.9242866,-4.476858,-13.870444,-3.4364965,-3.6382332,-4.476858,-4.696726,-8.080934,-3.603597,-3.9104044,-26.86284,-27.631021,-3.9104044,-4.620615,-14.111054,-3.603597,-3.6939938,-4.620615,-5.0977435
covid_spike.126786c6fb18b050699be0da9922b00806076c541b75a832506da042bcee7bef,-7.4837503,-2.6474688,-2.6474688,-27.43274,-27.631021,-15.139245,-19.303171,-24.061943,-2.6474688,-2.6474688,-15.139245,-19.303171,-7.4420366,-2.605755,-2.605755,-27.432407,-27.631021,-15.118388,-19.289267,-24.055983,-2.605755,-2.605755,-15.118388,-19.289267,-6.988552,-2.1522703,-2.1522703,-27.42881,-27.631021,-14.891645,-19.138103,-23.9912,-2.1522703,-2.1522703,-14.891645,-19.138103,-6.132807,-1.296525,-1.296525,-27.422018,-27.631021,-14.463774,-18.852856,-23.86895,-1.296525,-1.296525,-14.463774,-18.852856,-5.6793222,-0.8430402,-0.8430402,-27.418419,-27.631021,-14.237031,-18.701694,-23.804167,-0.8430402,-0.8430402,-14.237031,-18.701694
covid_spike.128e064ca85fe2bfcd4080671e2c1cebef01f22fcda5d8ac5501425e03857b66,-6.2995434,-2.1406603,-2.145761,-26.917042,-27.631021,-2.145761,-4.7836733,-16.207348,-2.1406603,-2.1406603,-4.7836733,-12.399456,-6.041071,-1.882188,-1.9028103,-26.8875,-27.631021,-1.9028103,-3.8383355,-15.734678,-1.882188,-1.882188,-3.8383355,-11.769231,-5.773458,-1.6145748,-1.6264939,-26.887499,-27.631021,-1.6264939,-3.8383136,-15.734668,-1.6145748,-1.6145748,-3.8383136,-11.769217,-4.9617524,-0.80286944,-0.84891236,-26.841816,-27.631021,-0.84891236,-2.3764484,-15.003735,-0.80286944,-0.80286944,-2.3764484,-10.79464,-4.7023168,-0.54343385,-0.5701227,-26.841776,-27.631021,-0.5701227,-2.37519,-15.003106,-0.54343385,-0.54343385,-2.37519,-10.7938
covid_spike.129b4b0b0b16251fef4f2dd2e6be5da8e6a2b9a760e388086e5fb1ba826826d5,-10.000409,-6.8223553,-6.8223553,-26.763994,-27.631021,-6.8223553,-6.8223553,-17.226688,-6.8223553,-6.8223553,-17.226688,-20.6948,-9.288271,-6.1102166,-6.1102166,-26.734322,-27.631021,-6.1102166,-6.1102166,-16.870619,-6.1102166,-6.1102166,-16.870619,-20.45742,-9.32215,-6.1440964,-6.1440964,-26.735733,-27.631021,-6.1440964,-6.1440964,-16.887558,-6.1440964,-6.1440964,-16.887558,-20.468714,-7.903384,-4.7253304,-4.7253304,-26.676619,-27.631021,-4.7253304,-4.7253304,-16.178177,-4.7253304,-4.7253304,-16.178177,-19.99579,-7.937144,-4.75909,-4.75909,-26.678024,-27.631021,-4.75909,-4.75909,-16.195055,-4.75909,-4.75909,-16.195055,-20.007044
covid_spike.131a254e8e16a76c63188ed26af6e426bc04804ed292f6ec03621031b7a49a26,-16.241898,-11.405615,-11.405626,-27.502249,-27.631021,-19.518324,-22.222557,-25.313108,-11.405625,-11.405626,-19.518324,-22.222557,-12.2150135,-7.3787317,-7.3787317,-27.47029,-27.631021,-17.504877,-20.880259,-24.737837,-7.3787317,-7.3787317,-17.504877,-20.880259,-13.7208,-8.884519,-8.88452,-27.48224,-27.631021,-18.25777,-21.382187,-24.95295,-8.88452,-8.88452,-18.25777,-21.382187,-9.626641,-4.7903595,-4.7903595,-27.449747,-27.631021,-16.21069,-20.017467,-24.36807,-4.7903595,-4.7903595,-16.21069,-20.017467,-11.132429,-6.2961473,-6.2961473,-27.461697,-27.631021,-16.963585,-20.519398,-24.583183,-6.2961473,-6.2961473,-16.963585,-20.519398
covid_spike.135f5762013b6f1c3d68d72aba52ddf5b43d02f18051cee68cfecfea2a81e2ba,-6.958063,-2.4807265,-2.5862515,-26.90418,-27.631021,-2.5862515,-3.68461,-14.838628,-2.4807265,-2.4808402,-3.68461,-6.310366,-6.721321,-2.243984,-2.39304,-26.848722,-27.631021,-2.39304,-3.3284235,-13.862545,-2.243984,-2.2498012,-3.3284235,-4.6835613,-6.402057,-1.9247202,-2.1096795,-26.858421,-27.631021,-2.1096795,-2.9088387,-14.0332575,-1.9247202,-1.9254961,-2.9088387,-4.968081,-5.502483,-1.025146,-1.2571743,-26.78937,-27.631021,-1.2571743,-1.9835517,-12.817948,-1.025146,-1.0469742,-1.9835517,-2.9425664,-5.1801963,-0.70285934,-0.9735637,-26.799067,-27.631021,-0.9735637,-1.5638319,-12.988606,-0.70285934,-0.70574206,-1.5638319,-3.2269964
covid_spike.136acfeb5ba635009e8bc08dfce1daa6f078fdd0e6aa832dd99d886fdc9cf007,-27.631023,-24.452969,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631023,-24.452969,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631023,-24.452969,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631023,-24.452969,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631023,-24.452969,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021
covid_spike.13819b220f5a90cb22ad7716b2ae322641d2c299e61e92eb22b0ba601c1d3c65,-8.874964,-5.0037622,-5.4498334,-26.309925,-27.631021,-5.4498334,-5.4498334,-6.4934897,-5.0037622,-5.065219,-5.8283587,-6.4934897,-8.570215,-4.699014,-5.357184,-26.27485,-27.631021,-5.357184,-5.357184,-5.9322867,-4.699014,-4.848966,-5.5631824,-5.9322867,-8.493136,-4.6219354,-5.2269373,-26.272112,-27.631021,-5.2269373,-5.2269373,-5.888466,-4.6219354,-4.754727,-5.479413,-5.888466,-7.114069,-3.2428682,-3.943521,-26.180304,-27.631021,-3.943521,-3.943521,-4.4195414,-3.2428682,-3.448206,-4.165872,-4.4195414,-7.0421643,-3.1709633,-3.8132644,-26.177565,-27.631021,-3.8132644,-3.8132644,-4.375714,-3.1709633,-3.3532383,-4.082093,-4.375714
