ranked_position,selected_rank,disposition,representative_system_id,regime_idx,param_idx,mn_idx,geometry_idx,d_pos,d_neg,steepness_pos,steepness_neg,M,N,roc_auc,pr_auc
135,,after_candidate_limit,,2229,89,4,89,15,13.5,2.17,3.25,1,15,0.9502909090909091,0.48993454331200487
136,,after_candidate_limit,,1600,64,0,64,13.89,4.17,0.5,1.38,1,1,0.9503320574162679,0.4896296751973279
137,,after_candidate_limit,,2252,90,2,90,15,13.5,3,4.5,1,3,0.9502105263157895,0.48959901888867297
138,,after_candidate_limit,,2179,87,4,87,15,13.5,1.33,2,1,15,0.9506296650717704,0.48949670440013765
139,,after_candidate_limit,,2076,83,1,83,13.89,8.33,3,4.5,1,2,0.947933014354067,0.4893540250885514
140,,after_candidate_limit,,2001,80,1,80,13.89,8.33,1.33,2,1,2,0.9483971291866029,0.4893378268556855
141,,after_candidate_limit,,2051,82,1,82,13.89,8.33,2.17,3.25,1,2,0.9481626794258373,0.4891985534639942
142,,after_candidate_limit,,1625,65,0,65,13.89,4.17,0.5,2,1,1,0.9503282296650718,0.4890676265350522
143,,after_candidate_limit,,1050,42,0,42,12.78,5.75,0.5,0.75,1,1,0.9483741626794259,0.4889168053844261
144,,after_candidate_limit,,775,31,0,31,12.78,11.5,1.33,2,1,1,0.9476248803827751,0.48890341632837286
145,,after_candidate_limit,,2026,81,1,81,13.89,8.33,1.33,3.67,1,2,0.9484334928229665,0.4886480273868553
146,,after_candidate_limit,,1751,70,1,70,13.89,6.25,0.5,0.75,1,2,0.950201913875598,0.488639040858583
147,,after_candidate_limit,,1801,72,1,72,13.89,6.25,0.5,2,1,2,0.9502133971291866,0.4884242332711797
148,,after_candidate_limit,,1403,56,3,56,13.89,12.5,0.5,0.75,1,8,0.950377033492823,0.4883651047272017
149,,after_candidate_limit,,2376,95,1,95,15,4.5,1.33,3.67,1,2,0.9504956937799043,0.48827192440761175
150,,after_candidate_limit,,1776,71,1,71,13.89,6.25,0.5,1.38,1,2,0.9502,0.48817679877513953
151,,after_candidate_limit,,2426,97,1,97,15,4.5,3,4.5,1,2,0.9499942583732057,0.4881429175121738
152,,after_candidate_limit,,2602,104,2,104,15,6.75,3,4.5,1,3,0.9499598086124402,0.4880299861609728
153,,after_candidate_limit,,2552,102,2,102,15,6.75,1.33,3.67,1,3,0.9504545454545454,0.488026870063715
154,,after_candidate_limit,,2527,101,2,101,15,6.75,1.33,2,1,3,0.9504535885167464,0.48799430437702246
155,,after_candidate_limit,,2401,96,1,96,15,4.5,2.17,3.25,1,2,0.9501234449760766,0.487930063929497
156,,after_candidate_limit,,2351,94,1,94,15,4.5,1.33,2,1,2,0.9504842105263158,0.48790875573211573
157,,after_candidate_limit,,2577,103,2,103,15,6.75,2.17,3.25,1,3,0.9500899521531101,0.4878666833916422
158,,after_candidate_limit,,2278,91,3,91,15,4.5,0.5,0.75,1,8,0.9522296650717703,0.48782060812070377
159,,after_candidate_limit,,2279,91,4,91,15,4.5,0.5,0.75,1,15,0.9522296650717703,0.48782060812070377
160,,after_candidate_limit,,2303,92,3,92,15,4.5,0.5,1.38,1,8,0.9522296650717703,0.48782060812070377
161,,after_candidate_limit,,2304,92,4,92,15,4.5,0.5,1.38,1,15,0.9522296650717703,0.48782060812070377
162,,after_candidate_limit,,2328,93,3,93,15,4.5,0.5,2,1,8,0.9522296650717703,0.48782060812070377
163,,after_candidate_limit,,2329,93,4,93,15,4.5,0.5,2,1,15,0.9522296650717703,0.48782060812070377
164,,after_candidate_limit,,2453,98,3,98,15,6.75,0.5,0.75,1,8,0.9522296650717703,0.48782060812070377
165,,after_candidate_limit,,2454,98,4,98,15,6.75,0.5,0.75,1,15,0.9522296650717703,0.48782060812070377
166,,after_candidate_limit,,2478,99,3,99,15,6.75,0.5,1.38,1,8,0.9522296650717703,0.48782060812070377
167,,after_candidate_limit,,2479,99,4,99,15,6.75,0.5,1.38,1,15,0.9522296650717703,0.48782060812070377
168,,after_candidate_limit,,2503,100,3,100,15,6.75,0.5,2,1,8,0.9522296650717703,0.48782060812070377
169,,after_candidate_limit,,2504,100,4,100,15,6.75,0.5,2,1,15,0.9522296650717703,0.48782060812070377
170,,after_candidate_limit,,2629,105,4,105,15,9,0.5,0.75,1,15,0.9522296650717703,0.48782060812070377
171,,after_candidate_limit,,2654,106,4,106,15,9,0.5,1.38,1,15,0.9522296650717703,0.48782060812070377
172,,after_candidate_limit,,2679,107,4,107,15,9,0.5,2,1,15,0.9522296650717703,0.48782060812070377
173,,after_candidate_limit,,1428,57,3,57,13.89,12.5,0.5,1.38,1,8,0.9503167464114832,0.48772077936886776
174,,after_candidate_limit,,1453,58,3,58,13.89,12.5,0.5,2,1,8,0.9503377990430621,0.48767786002064994
175,,after_candidate_limit,,1100,44,0,44,12.78,5.75,0.5,2,1,1,0.9483894736842106,0.4873398806050491
176,,after_candidate_limit,,1075,43,0,43,12.78,5.75,0.5,1.38,1,1,0.9483626794258373,0.48712071381704924
177,,after_candidate_limit,,1927,77,2,77,13.89,8.33,0.5,0.75,1,3,0.9501837320574162,0.48699757027620505
178,,after_candidate_limit,,2653,106,3,106,15,9,0.5,1.38,1,8,0.9522143540669856,0.4863331075059467
179,,after_candidate_limit,,2678,107,3,107,15,9,0.5,2,1,8,0.9522124401913875,0.486243471651605
180,,after_candidate_limit,,2628,105,3,105,15,9,0.5,0.75,1,8,0.9522066985645933,0.48600792456336783
181,,after_candidate_limit,,752,30,2,30,12.78,11.5,0.5,2,1,3,0.948755980861244,0.4859122114137376
182,,after_candidate_limit,,0,0,0,0,11.67,10.5,0.5,0.75,1,1,0.9476736842105263,0.4856248484188838
183,,after_candidate_limit,,1977,79,2,79,13.89,8.33,0.5,2,1,3,0.9501502392344497,0.48552972586404297
184,,after_candidate_limit,,1952,78,2,78,13.89,8.33,0.5,1.38,1,3,0.9501454545454545,0.48545346095545183
185,,after_candidate_limit,,825,33,0,33,12.78,11.5,2.17,3.25,1,1,0.9464382775119617,0.48541907235017373
186,,after_candidate_limit,,800,32,0,32,12.78,11.5,1.33,3.67,1,1,0.9475531100478469,0.4849117482817485
187,,after_candidate_limit,,2780,111,5,111,15,9,3,4.5,2,1,0.9315526315789474,0.4848437087909285
188,,after_candidate_limit,,2755,110,5,110,15,9,2.17,3.25,2,1,0.9317736842105263,0.4846577255844601
189,,after_candidate_limit,,2705,108,5,108,15,9,1.33,2,2,1,0.9334315789473684,0.48465133704225116
190,,after_candidate_limit,,727,29,2,29,12.78,11.5,0.5,1.38,1,3,0.948709090909091,0.48463945573371325
191,,after_candidate_limit,,1325,53,0,53,12.78,7.67,1.33,3.67,1,1,0.9462430622009569,0.48452971432758773
192,,after_candidate_limit,,2352,94,2,94,15,4.5,1.33,2,1,3,0.9503923444976077,0.48451210695559355
193,,after_candidate_limit,,850,34,0,34,12.78,11.5,3,4.5,1,1,0.9449722488038278,0.48447375399665166
194,,after_candidate_limit,,2427,97,2,97,15,4.5,3,4.5,1,3,0.9498995215311005,0.4843904641964027
195,,after_candidate_limit,,1375,55,0,55,12.78,7.67,3,4.5,1,1,0.9437684210526316,0.4843661731726951
196,,after_candidate_limit,,2377,95,2,95,15,4.5,1.33,3.67,1,3,0.9503904306220096,0.4843417165747471
197,,after_candidate_limit,,702,28,2,28,12.78,11.5,0.5,0.75,1,3,0.9487444976076556,0.48426892049044035
198,,after_candidate_limit,,1300,52,0,52,12.78,7.67,1.33,2,1,1,0.9461837320574162,0.4841909139311067
199,,after_candidate_limit,,2402,96,2,96,15,4.5,2.17,3.25,1,3,0.9500267942583732,0.48418561267634275
200,,after_candidate_limit,,1626,65,1,65,13.89,4.17,0.5,2,1,2,0.9500794258373205,0.48411492298091374
201,,after_candidate_limit,,1350,54,0,54,12.78,7.67,2.17,3.25,1,1,0.9451598086124402,0.4840472696966075
202,,after_candidate_limit,,1725,69,0,69,13.89,4.17,3,4.5,1,1,0.9476937799043063,0.4838606915249323
203,,after_candidate_limit,,2455,98,5,98,15,6.75,0.5,0.75,2,1,0.9349990430622009,0.48376839153944146
204,,after_candidate_limit,,2730,109,5,109,15,9,1.33,3.67,2,1,0.9334095693779905,0.4837153229234207
205,,after_candidate_limit,,2505,100,5,100,15,6.75,0.5,2,2,1,0.9350468899521531,0.4837140948674924
206,,after_candidate_limit,,1601,64,1,64,13.89,4.17,0.5,1.38,1,2,0.9500679425837321,0.4836915468213323
207,,after_candidate_limit,,1700,68,0,68,13.89,4.17,2.17,3.25,1,1,0.9479368421052632,0.4835821814600772
208,,after_candidate_limit,,1752,70,2,70,13.89,6.25,0.5,0.75,1,3,0.9500373205741627,0.4834849297824515
209,,after_candidate_limit,,1576,63,1,63,13.89,4.17,0.5,0.75,1,2,0.9500574162679426,0.48336273176929234
210,,after_candidate_limit,,1901,76,1,76,13.89,6.25,3,4.5,1,2,0.9475933014354067,0.48329674032491077
211,,after_candidate_limit,,25,1,0,1,11.67,10.5,0.5,1.38,1,1,0.9475598086124402,0.4832564735123136
212,,after_candidate_limit,,1802,72,2,72,13.89,6.25,0.5,2,1,3,0.9500334928229665,0.48322903546326423
213,,after_candidate_limit,,1675,67,0,67,13.89,4.17,1.33,3.67,1,1,0.9481856459330144,0.4832278669147407
214,,after_candidate_limit,,1777,71,2,71,13.89,6.25,0.5,1.38,1,3,0.9500325358851675,0.48321134376403096
215,,after_candidate_limit,,2480,99,5,99,15,6.75,0.5,1.38,2,1,0.9350325358851674,0.4832088467687743
216,,after_candidate_limit,,1876,75,1,75,13.89,6.25,2.17,3.25,1,2,0.9478363636363636,0.4830574256281202
217,,after_candidate_limit,,1650,66,0,66,13.89,4.17,1.33,2,1,1,0.9481684210526315,0.48291471176701795
218,,after_candidate_limit,,1851,74,1,74,13.89,6.25,1.33,3.67,1,2,0.9480822966507177,0.48267549142138355
219,,after_candidate_limit,,1553,62,3,62,13.89,12.5,3,4.5,1,8,0.9476708133971292,0.4825568599275016
220,,after_candidate_limit,,1826,73,1,73,13.89,6.25,1.33,2,1,2,0.9480688995215311,0.4824311411449202
221,,after_candidate_limit,,1528,61,3,61,13.89,12.5,2.17,3.25,1,8,0.9479244019138756,0.4823773334894843
222,,after_candidate_limit,,50,2,0,2,11.67,10.5,0.5,2,1,1,0.9475913875598087,0.4822428523343473
223,,after_candidate_limit,,1503,60,3,60,13.89,12.5,1.33,3.67,1,8,0.9481875598086125,0.48201144397142837
224,,after_candidate_limit,,1478,59,3,59,13.89,12.5,1.33,2,1,8,0.9481674641148325,0.48179360313732206
225,,after_candidate_limit,,2428,97,3,97,15,4.5,3,4.5,1,8,0.9498765550239234,0.4816735963291995
226,,after_candidate_limit,,2429,97,4,97,15,4.5,3,4.5,1,15,0.9498765550239234,0.4816735963291995
227,,after_candidate_limit,,2603,104,3,104,15,6.75,3,4.5,1,8,0.9498765550239234,0.4816735963291995
228,,after_candidate_limit,,2604,104,4,104,15,6.75,3,4.5,1,15,0.9498765550239234,0.4816735963291995
229,,after_candidate_limit,,2779,111,4,111,15,9,3,4.5,1,15,0.9498765550239234,0.4816735963291995
230,,after_candidate_limit,,2353,94,3,94,15,4.5,1.33,2,1,8,0.9503684210526315,0.4816335820032336
231,,after_candidate_limit,,2354,94,4,94,15,4.5,1.33,2,1,15,0.9503684210526315,0.4816335820032336
232,,after_candidate_limit,,2378,95,3,95,15,4.5,1.33,3.67,1,8,0.9503684210526315,0.4816335820032336
233,,after_candidate_limit,,2379,95,4,95,15,4.5,1.33,3.67,1,15,0.9503684210526315,0.4816335820032336
234,,after_candidate_limit,,2528,101,3,101,15,6.75,1.33,2,1,8,0.9503684210526315,0.4816335820032336
235,,after_candidate_limit,,2529,101,4,101,15,6.75,1.33,2,1,15,0.9503684210526315,0.4816335820032336
236,,after_candidate_limit,,2553,102,3,102,15,6.75,1.33,3.67,1,8,0.9503684210526315,0.4816335820032336
237,,after_candidate_limit,,2554,102,4,102,15,6.75,1.33,3.67,1,15,0.9503684210526315,0.4816335820032336
238,,after_candidate_limit,,2704,108,4,108,15,9,1.33,2,1,15,0.9503684210526315,0.4816335820032336
239,,after_candidate_limit,,2729,109,4,109,15,9,1.33,3.67,1,15,0.9503684210526315,0.4816335820032336
240,,after_candidate_limit,,2403,96,3,96,15,4.5,2.17,3.25,1,8,0.9500047846889952,0.4814774781048293
241,,after_candidate_limit,,2404,96,4,96,15,4.5,2.17,3.25,1,15,0.9500047846889952,0.4814774781048293
242,,after_candidate_limit,,2578,103,3,103,15,6.75,2.17,3.25,1,8,0.9500047846889952,0.4814774781048293
243,,after_candidate_limit,,2579,103,4,103,15,6.75,2.17,3.25,1,15,0.9500047846889952,0.4814774781048293
244,,after_candidate_limit,,2754,110,4,110,15,9,2.17,3.25,1,15,0.9500047846889952,0.4814774781048293
245,,after_candidate_limit,,2077,83,2,83,13.89,8.33,3,4.5,1,3,0.9475578947368422,0.4811741436552456
246,,after_candidate_limit,,1404,56,4,56,13.89,12.5,0.5,0.75,1,15,0.9500047846889952,0.48070509191904326
247,,after_candidate_limit,,2052,82,2,82,13.89,8.33,2.17,3.25,1,3,0.9477808612440192,0.4805181913435578
248,,after_candidate_limit,,2778,111,3,111,15,9,3,4.5,1,8,0.9498622009569379,0.4802345805629273
249,,after_candidate_limit,,2027,81,2,81,13.89,8.33,1.33,3.67,1,3,0.9480354066985646,0.48020516188655615
250,,after_candidate_limit,,1577,63,2,63,13.89,4.17,0.5,0.75,1,3,0.9499655502392345,0.4801640490730288
251,,after_candidate_limit,,2703,108,3,108,15,9,1.33,2,1,8,0.9503531100478468,0.4801460813884766
252,,after_candidate_limit,,2728,109,3,109,15,9,1.33,3.67,1,8,0.9503531100478468,0.4801460813884766
253,,after_candidate_limit,,1454,58,4,58,13.89,12.5,0.5,2,1,15,0.9499626794258373,0.4801424010581999
254,,after_candidate_limit,,1627,65,2,65,13.89,4.17,0.5,2,1,3,0.9499626794258373,0.4799964859020449
255,,after_candidate_limit,,1429,57,4,57,13.89,12.5,0.5,1.38,1,15,0.9499607655502392,0.4799920820899328
