ranked_position,selected_rank,disposition,representative_system_id,regime_idx,param_idx,mn_idx,geometry_idx,d_pos,d_neg,steepness_pos,steepness_neg,M,N,roc_auc,pr_auc
214,,after_candidate_limit,,1526,61,1,61,13.89,12.5,2.17,3.25,1,2,0.954733014354067,0.5130726762120261
215,,after_candidate_limit,,1501,60,1,60,13.89,12.5,1.33,3.67,1,2,0.9557674641148325,0.5130509027965267
216,,after_candidate_limit,,2377,95,2,95,15,4.5,1.33,3.67,1,3,0.958021052631579,0.5130331059626445
217,,after_candidate_limit,,1475,59,0,59,13.89,12.5,1.33,2,1,1,0.9552631578947368,0.5130169550098661
218,,after_candidate_limit,,2155,86,5,86,15,13.5,0.5,2,2,1,0.9479282296650717,0.5130163075702443
219,,after_candidate_limit,,1802,72,2,72,13.89,6.25,0.5,2,1,3,0.9582315789473684,0.5129930149355786
220,,after_candidate_limit,,727,29,2,29,12.78,11.5,0.5,1.38,1,3,0.9575464114832536,0.512987411062078
221,,after_candidate_limit,,1777,71,2,71,13.89,6.25,0.5,1.38,1,3,0.9582306220095694,0.512975748136941
222,,after_candidate_limit,,0,0,0,0,11.67,10.5,0.5,0.75,1,1,0.9563272727272727,0.5128414559495741
223,,after_candidate_limit,,1551,62,1,62,13.89,12.5,3,4.5,1,2,0.9542382775119618,0.5128054142953661
224,,after_candidate_limit,,702,28,2,28,12.78,11.5,0.5,0.75,1,3,0.957623923444976,0.5127421998031781
225,,after_candidate_limit,,1527,61,2,61,13.89,12.5,2.17,3.25,1,3,0.9553559808612441,0.5125679211924105
226,,after_candidate_limit,,1725,69,0,69,13.89,4.17,3,4.5,1,1,0.9545521531100478,0.5125602655363619
227,,after_candidate_limit,,1700,68,0,68,13.89,4.17,2.17,3.25,1,1,0.9548306220095694,0.5124627552273578
228,,after_candidate_limit,,1675,67,0,67,13.89,4.17,1.33,3.67,1,1,0.9557416267942583,0.512448206141779
229,,after_candidate_limit,,1405,56,5,56,13.89,12.5,0.5,0.75,2,1,0.9512899521531101,0.5123882483235288
230,,after_candidate_limit,,1325,53,0,53,12.78,7.67,1.33,3.67,1,1,0.9519578947368421,0.5123877983274687
231,,after_candidate_limit,,2402,96,2,96,15,4.5,2.17,3.25,1,3,0.9577023923444976,0.5122298193659374
232,,after_candidate_limit,,1650,66,0,66,13.89,4.17,1.33,2,1,1,0.9557301435406699,0.5122294157590229
233,,after_candidate_limit,,2427,97,2,97,15,4.5,3,4.5,1,3,0.9576,0.5120028229847727
234,,after_candidate_limit,,2202,88,2,88,15,13.5,1.33,3.67,1,3,0.9564535885167464,0.5119757715642916
235,,after_candidate_limit,,1500,60,0,60,13.89,12.5,1.33,3.67,1,1,0.9550411483253588,0.5119664133707122
236,,after_candidate_limit,,1300,52,0,52,12.78,7.67,1.33,2,1,1,0.9518813397129187,0.5115751786856483
237,,after_candidate_limit,,1552,62,2,62,13.89,12.5,3,4.5,1,3,0.9548947368421052,0.5115442985037769
238,,after_candidate_limit,,1805,72,5,72,13.89,6.25,0.5,2,2,1,0.9502038277511962,0.5114051890365499
239,,after_candidate_limit,,1901,76,1,76,13.89,6.25,3,4.5,1,2,0.95451004784689,0.5113465125658357
240,,after_candidate_limit,,1851,74,1,74,13.89,6.25,1.33,3.67,1,2,0.9556947368421053,0.5113293802868998
241,,after_candidate_limit,,2227,89,2,89,15,13.5,2.17,3.25,1,3,0.9562239234449761,0.511325403863408
242,,after_candidate_limit,,1780,71,5,71,13.89,6.25,0.5,1.38,2,1,0.9501358851674642,0.5112855583154763
243,,after_candidate_limit,,1876,75,1,75,13.89,6.25,2.17,3.25,1,2,0.9547808612440192,0.5112824686023946
244,,after_candidate_limit,,1755,70,5,70,13.89,6.25,0.5,0.75,2,1,0.9500688995215311,0.5112476846920208
245,,after_candidate_limit,,1375,55,0,55,12.78,7.67,3,4.5,1,1,0.9493358851674641,0.5112183363196922
246,,after_candidate_limit,,1826,73,1,73,13.89,6.25,1.33,2,1,2,0.9556822966507177,0.511155576222206
247,,after_candidate_limit,,1454,58,4,58,13.89,12.5,0.5,2,1,15,0.9582698564593302,0.5111144798245522
248,,after_candidate_limit,,1429,57,4,57,13.89,12.5,0.5,1.38,1,15,0.958245933014354,0.5110413752055134
