endpoint_id,score_full_hla__pr__regime_1225,score_full_hla__pr__regime_1400,score_full_hla__pr__regime_1451,score_full_hla__pr__regime_1775,score_full_hla__pr__regime_1926,score_full_hla__pr__regime_1950,score_full_hla__pr__regime_2100,score_full_hla__pr__regime_2126,score_full_hla__pr__regime_2153,score_full_hla__pr__regime_2154,score_full_hla__pr__regime_2275,score_full_hla__pr__regime_2450,score_full_hla__pr__regime_2451,score_full_hla__pr__regime_2505,score_full_hla__pr__regime_2625,score_full_hla__pr__regime_2676,score_full_hla__pr__regime_2677,score_full_hla__pr__regime_2680,score_full_hla__pr__regime_2681,score_full_hla__pr__regime_725
nci_obs_000000,-0.5459169745445251,-0.6291806697845459,-0.5191646218299866,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.701476514339447,-0.5528244376182556,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5190046429634094,-0.5188846588134766,-0.5188746452331543,-0.5188746452331543,-0.5190046429634094,-0.5190046429634094,-0.5475583672523499
nci_obs_000001,5.170153617858887,5.848727703094482,5.849057674407959,5.849057674407959,5.849057674407959,5.849057674407959,6.513111114501953,6.514712333679199,6.514712333679199,6.514712333679199,6.514712333679199,6.514712333679199,6.514712333679199,4.609504222869873,6.514712333679199,6.514712333679199,6.514712333679199,4.609504222869873,4.609504222869873,5.1701436042785645
nci_obs_000002,-0.8755968809127808,-1.0691945552825928,-0.9441611170768738,-0.8751968145370483,-0.8751968145370483,-0.8752267956733704,-1.2171519994735718,-0.9160395860671997,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483,-0.8752068281173706,-0.8751968145370483,-0.8751968145370483,-0.8757769465446472,-0.8751968145370483,-0.8751968145370483,-0.8753268122673035,-0.8751968145370483,-1.0954340696334839
nci_obs_000003,-1.1642853021621704,-1.4066736698150635,-1.209460973739624,-1.163294792175293,-1.1632248163223267,-1.1636749505996704,-1.5126961469650269,-1.263696312904358,-1.1632248163223267,-1.1632148027420044,-1.1632248163223267,-1.163294792175293,-1.1632148027420044,-1.1635749340057373,-1.1643353700637817,-1.1632148027420044,-1.1632148027420044,-1.1647056341171265,-1.1632648706436157,-1.2547447681427002
nci_obs_000004,-1.0383280515670776,-2.0793747901916504,-2.066606044769287,-1.0066821575164795,-1.015100359916687,-1.0360385179519653,-1.7521002292633057,-1.7196202278137207,-1.7159132957458496,-1.3197623491287231,-1.0066821575164795,-1.015302062034607,-1.0065321922302246,-1.0066921710968018,-1.205059289932251,-1.0164833068847656,-1.0068923234939575,-1.107001543045044,-1.0164833068847656,-2.487125873565674
nci_obs_000005,-1.4226974248886108,-1.6247034072875977,-1.5725425481796265,-1.1039087772369385,-1.3347783088684082,-1.5639324188232422,-1.4581372737884521,-1.3440536260604858,-1.3135738372802734,-1.3135738372802734,-1.0833264589309692,-1.18072509765625,-1.0933724641799927,-1.160603642463684,-1.3147845268249512,-1.3135838508605957,-1.2725889682769775,-1.846748948097229,-1.6400569677352905,-1.9305610656738281
nci_obs_000006,-1.0469051599502563,-2.689117431640625,-2.304255485534668,-0.9518026113510132,-0.9671860337257385,-1.1188137531280518,-2.261779308319092,-2.254551649093628,-1.0554872751235962,-0.9494598507881165,-0.9507606625556946,-0.9833268523216248,-0.9501600861549377,-0.9514818787574768,-1.2726171016693115,-1.014691948890686,-0.9541809558868408,-1.416412115097046,-1.014691948890686,-2.6124508380889893
nci_obs_000007,-0.49150264263153076,-0.7898958921432495,-0.5372306108474731,-0.48921090364456177,-0.4892609119415283,-0.4896809756755829,-1.3780019283294678,-0.6735640168190002,-0.48933088779449463,-0.48921090364456177,-0.48921090364456177,-0.4892609119415283,-0.48921090364456177,-0.48921090364456177,-0.49128252267837524,-0.48921090364456177,-0.48921090364456177,-0.4907020032405853,-0.48921090364456177,-0.6899442672729492
nci_obs_000008,-5.871978759765625,-4.992252826690674,-4.992252826690674,-4.992252826690674,-4.992252826690674,-4.992252826690674,-4.201114177703857,-4.201094150543213,-4.201094150543213,-4.201094150543213,-4.201094150543213,-4.201094150543213,-4.201094150543213,-7.892119884490967,-4.201094150543213,-4.201094150543213,-4.201094150543213,-7.892119884490967,-7.892119884490967,-5.871978759765625
nci_obs_000009,-0.9472882151603699,-0.8422699570655823,-0.7281044125556946,-0.7207674980163574,-0.7207574844360352,-0.720877468585968,-0.8465149402618408,-0.6422094702720642,-0.5973899364471436,-0.5973899364471436,-0.5973999500274658,-0.5974499583244324,-0.5973899364471436,-0.7737913131713867,-0.5990613102912903,-0.5973899364471436,-0.5973899364471436,-0.7740413546562195,-0.7737812995910645,-0.9908211827278137
