endpoint_id,score_mono_q_full_pn__roc__regime_1750,score_mono_q_full_pn__roc__regime_1925,score_mono_q_full_pn__roc__regime_1976,score_mono_q_full_pn__roc__regime_2104,score_mono_q_full_pn__roc__regime_2128,score_mono_q_full_pn__roc__regime_2275,score_mono_q_full_pn__roc__regime_2277,score_mono_q_full_pn__roc__regime_2278,score_mono_q_full_pn__roc__regime_2279,score_mono_q_full_pn__roc__regime_2326,score_mono_q_full_pn__roc__regime_2450,score_mono_q_full_pn__roc__regime_2452,score_mono_q_full_pn__roc__regime_2453,score_mono_q_full_pn__roc__regime_2454,score_mono_q_full_pn__roc__regime_2476,score_mono_q_full_pn__roc__regime_2625,score_mono_q_full_pn__roc__regime_2629,score_mono_q_full_pn__roc__regime_2653,score_mono_q_full_pn__roc__regime_2676,score_mono_q_full_pn__roc__regime_2677
nci_obs_000000,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.1434878706932068,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452
nci_obs_000001,6.214640140533447,6.214640140533447,6.214640140533447,6.8802947998046875,6.8802947998046875,6.8802947998046875,6.8802947998046875,6.8802947998046875,6.8802947998046875,6.8802947998046875,6.8802947998046875,6.8802947998046875,6.8802947998046875,6.8802947998046875,6.8802947998046875,6.8802947998046875,6.8802947998046875,6.8802947998046875,6.8802947998046875,6.8802947998046875
nci_obs_000002,-0.0948043018579483,-0.09530439227819443,-0.09479428827762604,-0.09479428827762604,-0.09479428827762604,-0.09479428827762604,-0.09479428827762604,-0.09479428827762604,-0.09479428827762604,-0.09479428827762604,-0.0948043018579483,-0.09479428827762604,-0.09479428827762604,-0.09479428827762604,-0.09479428827762604,-0.0953744649887085,-0.09479428827762604,-0.09479428827762604,-0.09479428827762604,-0.09479428827762604
nci_obs_000003,-0.20174117386341095,-0.20243145525455475,-0.20165115594863892,-0.20165115594863892,-0.20166116952896118,-0.20166116952896118,-0.20165115594863892,-0.20165115594863892,-0.20165115594863892,-0.20165115594863892,-0.20173116028308868,-0.20165115594863892,-0.20165115594863892,-0.20165115594863892,-0.20165115594863892,-0.20277176797389984,-0.20165115594863892,-0.20165115594863892,-0.20165115594863892,-0.20165115594863892
nci_obs_000004,-0.17090949416160583,-0.24597758054733276,-0.16715997457504272,-0.46762531995773315,-0.8760408759117126,-0.16680973768234253,-0.16647972166538239,-0.16647972166538239,-0.16647972166538239,-0.16647972166538239,-0.17542964220046997,-0.16647972166538239,-0.16647972166538239,-0.16647972166538239,-0.16647972166538239,-0.36518678069114685,-0.16647972166538239,-0.16647972166538239,-0.17661084234714508,-0.16701987385749817
nci_obs_000005,-0.25434303283691406,-0.6914123296737671,-0.385663241147995,-0.44092366099357605,-0.44092366099357605,-0.21067628264427185,-0.20910505950450897,-0.20910505950450897,-0.20910505950450897,-0.20910505950450897,-0.3080749213695526,-0.20999547839164734,-0.20910505950450897,-0.20910505950450897,-0.21390658617019653,-0.4421343505382538,-0.20910505950450897,-0.2091250866651535,-0.4409336745738983,-0.39993876218795776
nci_obs_000006,-0.14180630445480347,-0.30765894055366516,-0.13243402540683746,-0.12402848154306412,-0.23478595912456512,-0.12528930604457855,-0.12398848682641983,-0.12398848682641983,-0.12398848682641983,-0.12398848682641983,-0.1578555405139923,-0.1239985004067421,-0.12398848682641983,-0.12398848682641983,-0.12401846796274185,-0.4471457302570343,-0.12398848682641983,-0.12398848682641983,-0.1892205774784088,-0.12870962917804718
nci_obs_000007,-0.14055418968200684,-0.14270561933517456,-0.14050418138504028,-0.14050418138504028,-0.1407342255115509,-0.14050418138504028,-0.14050418138504028,-0.14050418138504028,-0.14050418138504028,-0.14050418138504028,-0.14055418968200684,-0.14050418138504028,-0.14050418138504028,-0.14050418138504028,-0.14050418138504028,-0.14257580041885376,-0.14050418138504028,-0.14050418138504028,-0.14050418138504028,-0.14050418138504028
nci_obs_000008,-4.096820831298828,-4.096820831298828,-4.096820831298828,-3.3056623935699463,-3.3056623935699463,-3.3056623935699463,-3.3056623935699463,-3.3056623935699463,-3.3056623935699463,-3.3056623935699463,-3.3056623935699463,-3.3056623935699463,-3.3056623935699463,-3.3056623935699463,-3.3056623935699463,-3.3056623935699463,-3.3056623935699463,-3.3056623935699463,-3.3056623935699463,-3.3056623935699463
nci_obs_000009,-0.3322596848011017,-0.3328098952770233,-0.33222970366477966,-0.20886215567588806,-0.20886215567588806,-0.20887216925621033,-0.20886215567588806,-0.20886215567588806,-0.20886215567588806,-0.20886215567588806,-0.20892217755317688,-0.20886215567588806,-0.20886215567588806,-0.20886215567588806,-0.20886215567588806,-0.21053355932235718,-0.20886215567588806,-0.20886215567588806,-0.20886215567588806,-0.20886215567588806
