ranked_position,selected_rank,disposition,representative_system_id,regime_idx,param_idx,mn_idx,geometry_idx,d_pos,d_neg,steepness_pos,steepness_neg,M,N,roc_auc,pr_auc
37,12,selected,mono_q_full_pn__roc__regime_2277,2277,91,2,91,15,4.5,0.5,0.75,1,3,0.9607277511961723,0.5214817775715165
38,,duplicate_biological_key,mono_q_full_pn__roc__regime_2277,2302,92,2,92,15,4.5,0.5,1.38,1,3,0.9607066985645933,0.5213436796175167
39,,duplicate_biological_key,mono_q_full_pn__roc__regime_2277,2327,93,2,93,15,4.5,0.5,2,1,3,0.9606952153110048,0.5214049901096873
40,,duplicate_biological_key,mono_q_full_pn__roc__regime_2625,2775,111,0,111,15,9,3,4.5,1,1,0.9606574162679425,0.5665955486294123
41,,duplicate_biological_key,mono_q_full_pn__roc__regime_2450,2550,102,0,102,15,6.75,1.33,3.67,1,1,0.960644019138756,0.5617297489755243
42,,duplicate_biological_key,mono_q_full_pn__roc__regime_2450,2525,101,0,101,15,6.75,1.33,2,1,1,0.9606086124401914,0.5605626785998845
43,13,selected,mono_q_full_pn__roc__regime_2278,2278,91,3,91,15,4.5,0.5,0.75,1,8,0.9605411483253589,0.513875719656137
44,14,selected,mono_q_full_pn__roc__regime_2279,2279,91,4,91,15,4.5,0.5,0.75,1,15,0.9605411483253589,0.513875719656137
45,,duplicate_biological_key,mono_q_full_pn__roc__regime_2278,2303,92,3,92,15,4.5,0.5,1.38,1,8,0.9605411483253589,0.513875719656137
46,,duplicate_biological_key,mono_q_full_pn__roc__regime_2279,2304,92,4,92,15,4.5,0.5,1.38,1,15,0.9605411483253589,0.513875719656137
47,,duplicate_biological_key,mono_q_full_pn__roc__regime_2278,2328,93,3,93,15,4.5,0.5,2,1,8,0.9605411483253589,0.513875719656137
48,,duplicate_biological_key,mono_q_full_pn__roc__regime_2279,2329,93,4,93,15,4.5,0.5,2,1,15,0.9605411483253589,0.513875719656137
49,15,selected,mono_q_full_pn__roc__regime_2453,2453,98,3,98,15,6.75,0.5,0.75,1,8,0.9605411483253589,0.513875719656137
50,16,selected,mono_q_full_pn__roc__regime_2454,2454,98,4,98,15,6.75,0.5,0.75,1,15,0.9605411483253589,0.513875719656137
51,,duplicate_biological_key,mono_q_full_pn__roc__regime_2453,2478,99,3,99,15,6.75,0.5,1.38,1,8,0.9605411483253589,0.513875719656137
52,,duplicate_biological_key,mono_q_full_pn__roc__regime_2454,2479,99,4,99,15,6.75,0.5,1.38,1,15,0.9605411483253589,0.513875719656137
53,,duplicate_biological_key,mono_q_full_pn__roc__regime_2453,2503,100,3,100,15,6.75,0.5,2,1,8,0.9605411483253589,0.513875719656137
54,,duplicate_biological_key,mono_q_full_pn__roc__regime_2454,2504,100,4,100,15,6.75,0.5,2,1,15,0.9605411483253589,0.513875719656137
55,17,selected,mono_q_full_pn__roc__regime_2629,2629,105,4,105,15,9,0.5,0.75,1,15,0.9605411483253589,0.513875719656137
56,,duplicate_biological_key,mono_q_full_pn__roc__regime_2629,2654,106,4,106,15,9,0.5,1.38,1,15,0.9605411483253589,0.513875719656137
57,,duplicate_biological_key,mono_q_full_pn__roc__regime_2629,2679,107,4,107,15,9,0.5,2,1,15,0.9605411483253589,0.513875719656137
58,18,selected,mono_q_full_pn__roc__regime_2653,2653,106,3,106,15,9,0.5,1.38,1,8,0.9604325358851674,0.5128095567700179
59,,duplicate_biological_key,mono_q_full_pn__roc__regime_2653,2628,105,3,105,15,9,0.5,0.75,1,8,0.9604239234449761,0.5132352521639358
60,,duplicate_biological_key,mono_q_full_pn__roc__regime_2653,2678,107,3,107,15,9,0.5,2,1,8,0.9604191387559808,0.5125340802984358
61,,duplicate_biological_key,mono_q_full_pn__roc__regime_2676,2726,109,1,109,15,9,1.33,3.67,1,2,0.9603736842105263,0.5478166144437998
62,,duplicate_biological_key,mono_q_full_pn__roc__regime_2676,2701,108,1,108,15,9,1.33,2,1,2,0.9602717703349283,0.5462490416986847
63,19,selected,mono_q_full_pn__roc__regime_1750,1750,70,0,70,13.89,6.25,0.5,0.75,1,1,0.9600832535885168,0.5485070849349206
64,,duplicate_biological_key,mono_q_full_pn__roc__regime_2450,2575,103,0,103,15,6.75,2.17,3.25,1,1,0.9600631578947368,0.5609941483987977
65,,duplicate_biological_key,mono_q_full_pn__roc__regime_1750,1775,71,0,71,13.89,6.25,0.5,1.38,1,1,0.9599215311004785,0.5418054297415786
66,,duplicate_biological_key,mono_q_full_pn__roc__regime_1750,1800,72,0,72,13.89,6.25,0.5,2,1,1,0.9599114832535885,0.5395674019441129
67,,duplicate_biological_key,mono_q_full_pn__roc__regime_2676,2751,110,1,110,15,9,2.17,3.25,1,2,0.9598177033492823,0.5473738108381054
68,,duplicate_biological_key,mono_q_full_pn__roc__regime_2450,2600,104,0,104,15,6.75,3,4.5,1,1,0.9597822966507177,0.5606450438993046
