endpoint_id,score_focal_hla__logmeanexp,score_focal_hla__logsumexp,score_focal_hla__max,score_focal_hla__mean,score_focal_hla__median,score_focal_hla__top_frac_mean_frac0p01,score_focal_hla__top_frac_mean_frac0p02,score_focal_hla__top_frac_mean_frac0p05,score_focal_hla__top_k_logsumexp_k10,score_focal_hla__top_k_logsumexp_k2,score_focal_hla__top_k_mean_k2,score_focal_hla__top_k_mean_k3,score_full_hla__logmeanexp,score_full_hla__logsumexp,score_full_hla__max,score_full_hla__mean,score_full_hla__median,score_full_hla__top_frac_mean_frac0p01,score_full_hla__top_frac_mean_frac0p02,score_full_hla__top_frac_mean_frac0p05,score_full_hla__top_k_logsumexp_k10,score_full_hla__top_k_logsumexp_k2,score_full_hla__top_k_mean_k2,score_full_hla__top_k_mean_k3,score_full_q_mono_pn__logmeanexp,score_full_q_mono_pn__logsumexp,score_full_q_mono_pn__max,score_full_q_mono_pn__mean,score_full_q_mono_pn__median,score_full_q_mono_pn__top_frac_mean_frac0p01,score_full_q_mono_pn__top_frac_mean_frac0p02,score_full_q_mono_pn__top_frac_mean_frac0p05,score_full_q_mono_pn__top_k_logsumexp_k10,score_full_q_mono_pn__top_k_logsumexp_k2,score_full_q_mono_pn__top_k_mean_k2,score_full_q_mono_pn__top_k_mean_k3,score_mono_q_full_pn__logmeanexp,score_mono_q_full_pn__logsumexp,score_mono_q_full_pn__max,score_mono_q_full_pn__mean,score_mono_q_full_pn__median,score_mono_q_full_pn__top_frac_mean_frac0p01,score_mono_q_full_pn__top_frac_mean_frac0p02,score_mono_q_full_pn__top_frac_mean_frac0p05,score_mono_q_full_pn__top_k_logsumexp_k10,score_mono_q_full_pn__top_k_logsumexp_k2,score_mono_q_full_pn__top_k_mean_k2,score_mono_q_full_pn__top_k_mean_k3,score_old_monoallelic__logmeanexp,score_old_monoallelic__logsumexp,score_old_monoallelic__max,score_old_monoallelic__mean,score_old_monoallelic__median,score_old_monoallelic__top_frac_mean_frac0p01,score_old_monoallelic__top_frac_mean_frac0p02,score_old_monoallelic__top_frac_mean_frac0p05,score_old_monoallelic__top_k_logsumexp_k10,score_old_monoallelic__top_k_logsumexp_k2,score_old_monoallelic__top_k_mean_k2,score_old_monoallelic__top_k_mean_k3
pdac.a5137d68fba08ee49a4db878ef9b1f1f70bc6b35c0444c9da2bbbbe61696ef6b,-3.9192817,0.27037308,-1.0514516,-23.222696,-27.631021,-1.0514516,-1.1369367,-1.3575206,0.26631308,-0.44014007,-1.1369367,-1.1817039,-3.900406,0.28924882,-1.0449904,-23.200188,-27.631021,-1.0449904,-1.1134181,-1.345453,0.2828497,-0.4179316,-1.1134181,-1.1660417,-3.958869,0.23078585,-1.0700736,-23.24438,-27.631021,-1.0700736,-1.1588712,-1.378165,0.22724733,-0.46178666,-1.1588712,-1.2030705,-3.0155673,1.1740875,-0.40934852,-22.971796,-27.631021,-0.40934852,-0.4326702,-0.5630916,1.1612593,0.2607489,-0.4326702,-0.45390233,-3.068028,1.1216267,-0.41401145,-23.006418,-27.631021,-0.41401145,-0.45412493,-0.5747946,1.1127102,0.23982657,-0.45412493,-0.46969783
pdac.a5cb1ff31c34ce319fbdeedc56cbfc9d58f6361554c25b31dc1538db0ca5ae39,-5.4799604,-2.3019063,-2.394059,-23.89021,-27.631021,-2.394059,-2.394059,-3.8371897,-2.3019063,-2.339775,-3.8371897,-4.4921646,-5.4517164,-2.2736623,-2.393959,-23.822027,-27.631021,-2.393959,-2.393959,-3.8381882,-2.2736623,-2.339791,-3.8381882,-4.459757,-5.465088,-2.287034,-2.397311,-23.838009,-27.631021,-2.397311,-2.397311,-3.8417153,-2.287034,-2.3431613,-3.8417153,-4.46953,-4.2582345,-1.0801806,-1.2459402,-23.586939,-27.631021,-1.2459402,-1.2459402,-2.5760655,-1.0801806,-1.1783464,-2.5760655,-3.0473742,-4.284518,-1.106464,-1.24552,-23.634838,-27.631021,-1.24552,-1.24552,-2.5747771,-1.106464,-1.1778126,-2.5747771,-3.044444
pdac.a69c3f93765ae9933011d8b968223255ccc235b1ec0403ad42c04f5b5aab4b78,-4.802262,-1.624208,-1.7503015,-20.724922,-27.631021,-1.7503015,-1.7503015,-2.886661,-1.624208,-1.6522391,-2.886661,-3.848916,-4.5777698,-1.3997158,-1.622208,-20.098532,-27.631021,-1.622208,-1.622208,-2.5965376,-1.3997158,-1.4890199,-2.5965376,-3.338812,-4.5886784,-1.4106247,-1.5976455,-20.284954,-27.631021,-1.5976455,-1.5976455,-2.5667021,-1.4106247,-1.4631362,-2.5667021,-3.5077775,-3.3243206,-0.14626662,-0.5439832,-19.440615,-27.631021,-0.5439832,-0.5439832,-1.4034045,-0.14626662,-0.37908462,-1.4034045,-1.9066222,-3.443718,-0.26566398,-0.5190506,-19.747318,-27.631021,-0.5190506,-0.5190506,-1.4451982,-0.26566398,-0.37332672,-1.4451982,-2.1832519
pdac.a6aa70a9f1ee7e710020b22ff6460a55427f75a10e95ae78a6663495f2cd3999,-4.105073,0.17159307,-1.2362506,-22.982513,-27.631021,-1.2362506,-1.2615758,-1.4041946,0.15973777,-0.56810796,-1.2615758,-1.3186946,-4.122596,0.15407036,-1.2363898,-22.988914,-27.631021,-1.2363898,-1.2629457,-1.4053432,0.1413094,-0.56944585,-1.2629457,-1.3196979,-4.419491,-0.14282477,-1.4051517,-23.015001,-27.631021,-1.4051517,-1.5521414,-1.7841847,-0.15915306,-0.84822994,-1.5521414,-1.6828957,-3.11708,1.1595862,-0.37672883,-22.720474,-27.631021,-0.37672883,-0.41643634,-0.48730606,1.1383376,0.27749896,-0.41643634,-0.45921025,-3.3497057,0.9269604,-0.5248118,-22.75042,-27.631021,-0.5248118,-0.63328624,-0.7684003,0.9030967,0.06573276,-0.63328624,-0.7084979
pdac.ab9f564273f2f93170628f7b5fdf9f4da9e9a0419b18e9d3f6ccb9464de28698,-5.288759,-2.1107054,-3.111436,-22.707836,-27.631021,-3.111436,-3.111436,-3.2262886,-2.1107054,-2.5265603,-3.2262886,-3.3959885,-5.089724,-1.9116702,-3.0469742,-22.660982,-27.631021,-3.0469742,-3.0469742,-3.0923913,-1.9116702,-2.3982131,-3.0923913,-3.1768413,-5.0459213,-1.8678677,-3.0283706,-22.648212,-27.631021,-3.0283706,-3.0283706,-3.0821233,-1.8678677,-2.3875322,-3.0821233,-3.1681392,-3.68399,-0.505936,-1.5348793,-22.371058,-27.631021,-1.5348793,-1.5348793,-1.6435652,-0.505936,-0.94452333,-1.6435652,-1.7778869,-3.6901581,-0.5121042,-1.5948797,-22.370132,-27.631021,-1.5948797,-1.5948797,-1.6655662,-0.5121042,-0.9699228,-1.6655662,-1.7906972
pdac.ac0b600e97047712247f15ccc32a821fdb6fbf47f7ed78a950b575b1d034fff6,-4.9192543,-0.8249097,-1.5884684,-22.756397,-27.631021,-1.5884684,-1.9030344,-2.3152127,-0.8316898,-1.1612064,-1.9030344,-2.3152127,-4.625191,-0.53084666,-1.5812035,-22.59471,-27.631021,-1.5812035,-1.6416351,-1.832956,-0.5411557,-0.946663,-1.6416351,-1.832956,-4.7197504,-0.6254059,-1.5089923,-22.65055,-27.631021,-1.5089923,-1.6601951,-2.0404704,-0.6323622,-0.95566005,-1.6601951,-2.0404704,-3.4742098,0.6201347,-0.6937082,-22.238276,-27.631021,-0.6937082,-0.7097509,-0.7852238,0.5883288,-0.016475061,-0.7097509,-0.7852238,-3.6653616,0.42898288,-0.68305176,-22.304998,-27.631021,-0.68305176,-0.94422114,-1.0566988,0.40859434,-0.21735007,-0.94422114,-1.0566988
pdac.acc368f2b8da7821695ca21bc0520dfce8982f1635cd772cb76c8c2656a5482e,-6.517769,-4.7260094,-4.7260094,-23.813519,-27.631021,-4.7260094,-4.7260094,-4.7260094,-4.7260094,-4.7260094,-16.178516,-19.996017,-6.511058,-4.7192984,-4.7192984,-23.8124,-27.631021,-4.7192984,-4.7192984,-4.7192984,-4.7192984,-4.7192984,-16.17516,-19.99378,-6.5342383,-4.742479,-4.742479,-23.816265,-27.631021,-4.742479,-4.742479,-4.742479,-4.742479,-4.742479,-16.18675,-20.001507,-4.7866364,-2.994877,-2.994877,-23.524998,-27.631021,-2.994877,-2.994877,-2.994877,-2.994877,-2.994877,-15.312949,-19.418974,-4.80029,-3.0085304,-3.0085304,-23.527273,-27.631021,-3.0085304,-3.0085304,-3.0085304,-3.0085304,-3.0085304,-15.319776,-19.423525
pdac.adbd88f43cb0fee096ce4a08d2cd48e61c5e39a47df55f30b673f76015289313,-3.856097,-0.11842733,-0.95034283,-22.937239,-27.631021,-0.95034283,-0.95034283,-1.4966645,-0.11842733,-0.5758654,-1.3449172,-1.4966645,-3.8204021,-0.082732424,-0.9385876,-22.89142,-27.631021,-0.9385876,-0.9385876,-1.5408902,-0.082732424,-0.58063066,-1.3601031,-1.5408902,-3.8801394,-0.14246972,-0.9150743,-22.908478,-27.631021,-0.9150743,-0.9150743,-1.6884826,-0.14246972,-0.54233104,-1.31243,-1.6884826,-2.7154994,1.0221702,-0.26337457,-22.635853,-27.631021,-0.26337457,-0.26337457,-0.5603019,1.0221702,0.25058472,-0.4621992,-0.5603019,-2.793852,0.9438176,-0.22979213,-22.649263,-27.631021,-0.22979213,-0.22979213,-0.6165471,0.9438176,0.30390516,-0.40441105,-0.6165471
pdac.af5ccfa4bae153fdf7bc12e4ad887d506696f371ecd7a5b252bdbe6445b4428e,-4.1096807,0.32113588,-1.5321833,-18.663437,-27.631021,-1.5321833,-1.6760194,-1.85668,0.1183712,-0.9725633,-1.6760194,-1.7335614,-3.974059,0.45675752,-1.5500646,-18.576454,-27.631021,-1.5500646,-1.6944802,-1.8030708,0.2493387,-0.99094105,-1.6944802,-1.7443129,-4.128202,0.3026146,-1.7295458,-18.614082,-27.631021,-1.7295458,-1.818737,-1.9598166,0.07949897,-1.1216176,-1.818737,-1.8951238,-2.3587623,2.0720544,-0.23855405,-17.890844,-27.631021,-0.23855405,-0.2682766,-0.32133874,1.7509388,0.42531222,-0.2682766,-0.2876864,-2.422942,2.0078747,-0.30437592,-17.913675,-27.631021,-0.30437592,-0.30794168,-0.45040724,1.6824684,0.38521186,-0.30794168,-0.36107966
pdac.af7de7b5f7162b3ee417281e38954eb440b4e18c94c233d4fa6b8dff9ebd26c6,-4.0091357,0.26753062,-0.37289742,-21.967613,-27.631021,-0.37289742,-0.7714072,-1.59026,0.2500493,-0.0008718002,-0.7714072,-1.249016,-3.7669234,0.50974274,-0.37162417,-21.662846,-27.631021,-0.37162417,-0.7708508,-1.2358295,0.4830417,-0.00004372452,-0.7708508,-1.0279477,-3.7931879,0.4834784,-0.337725,-21.749554,-27.631021,-0.337725,-0.77219,-1.2731713,0.4594723,0.012509322,-0.77219,-1.0777602,-2.759196,1.5174701,-0.12768956,-21.231733,-27.631021,-0.12768956,-0.28349152,-0.46446016,1.4318397,0.42174402,-0.28349152,-0.40046513,-2.9487753,1.327891,-0.09377042,-21.371367,-27.631021,-0.09377042,-0.2689543,-0.57759815,1.2759067,0.43945974,-0.2689543,-0.39074364
