endpoint_id,score_full_q_mono_pn__roc__regime_1750,score_full_q_mono_pn__roc__regime_1925,score_full_q_mono_pn__roc__regime_1926,score_full_q_mono_pn__roc__regime_2128,score_full_q_mono_pn__roc__regime_2152,score_full_q_mono_pn__roc__regime_2154,score_full_q_mono_pn__roc__regime_2275,score_full_q_mono_pn__roc__regime_2278,score_full_q_mono_pn__roc__regime_2279,score_full_q_mono_pn__roc__regime_2326,score_full_q_mono_pn__roc__regime_2327,score_full_q_mono_pn__roc__regime_2451,score_full_q_mono_pn__roc__regime_2452,score_full_q_mono_pn__roc__regime_2500,score_full_q_mono_pn__roc__regime_2503,score_full_q_mono_pn__roc__regime_2625,score_full_q_mono_pn__roc__regime_2626,score_full_q_mono_pn__roc__regime_2627,score_full_q_mono_pn__roc__regime_2628,score_full_q_mono_pn__roc__regime_2629
nci_obs_000000,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5411815643310547,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5189046263694763,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543
nci_obs_000001,7.020657539367676,7.020657539367676,7.020657539367676,7.470037937164307,7.470037937164307,7.470037937164307,7.470037937164307,7.470037937164307,7.470037937164307,7.470037937164307,7.470037937164307,7.470037937164307,7.470037937164307,7.470037937164307,7.470037937164307,7.470037937164307,7.470037937164307,7.470037937164307,7.470037937164307,7.470037937164307
nci_obs_000002,-0.8752368092536926,-0.8775696158409119,-0.8752267956733704,-0.8752468228340149,-1.2760624885559082,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483,-0.8840962648391724,-0.8754467964172363,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483
nci_obs_000003,-1.1632448434829712,-1.1637749671936035,-1.1632248163223267,-1.1636848449707031,-1.8775243759155273,-1.1632148027420044,-1.1632148027420044,-1.1632148027420044,-1.1632148027420044,-1.1632148027420044,-1.1632148027420044,-1.1632148027420044,-1.1632148027420044,-1.163234829902649,-1.1632148027420044,-1.1650664806365967,-1.1632448434829712,-1.1632148027420044,-1.1632148027420044,-1.1632148027420044
nci_obs_000004,-1.0741279125213623,-1.204135775566101,-1.2035456895828247,-1.073304295539856,-1.1123778820037842,-1.073304295539856,-1.011374831199646,-1.006352186203003,-1.006352186203003,-1.006352186203003,-1.006352186203003,-1.0165237188339233,-1.006832242012024,-1.0113948583602905,-1.006352186203003,-1.0749757289886475,-1.0733343362808228,-1.073304295539856,-1.0069724321365356,-1.006352186203003
nci_obs_000005,-1.1034727096557617,-1.110449194908142,-1.10342276096344,-1.08481764793396,-1.464587688446045,-1.083546757698059,-1.0835567712783813,-1.0817551612854004,-1.0817551612854004,-1.0817551612854004,-1.0817551612854004,-1.0835567712783813,-1.083546757698059,-1.0840669870376587,-1.0817551612854004,-1.1008862257003784,-1.0845472812652588,-1.0835868120193481,-1.083546757698059,-1.083546757698059
nci_obs_000006,-1.1466798782348633,-1.5682896375656128,-1.550392508506775,-1.2799381017684937,-1.2810386419296265,-1.2799381017684937,-0.9685713052749634,-0.9494598507881165,-0.9494598507881165,-0.9494598507881165,-0.9494598507881165,-0.9763069748878479,-0.9504703283309937,-0.9674609303474426,-0.9494598507881165,-1.282351016998291,-1.279968023300171,-1.273114562034607,-0.9494598507881165,-0.9494598507881165
nci_obs_000007,-0.4892609119415283,-0.494836688041687,-0.4892709255218506,-0.5187529921531677,-1.3330414295196533,-0.48921090364456177,-0.48921090364456177,-0.48921090364456177,-0.48921090364456177,-0.48921090364456177,-0.48921090364456177,-0.48921090364456177,-0.48921090364456177,-0.48921090364456177,-0.48921090364456177,-0.5110373497009277,-0.48975107073783875,-0.48922091722488403,-0.48921090364456177,-0.48921090364456177
nci_obs_000008,-4.285737037658691,-4.285737037658691,-4.285737037658691,-3.5345776081085205,-3.5345776081085205,-3.5345776081085205,-3.5345776081085205,-3.5345776081085205,-3.5345776081085205,-3.5345776081085205,-3.5345776081085205,-3.5345776081085205,-3.5345776081085205,-3.5345776081085205,-3.5345776081085205,-3.5345776081085205,-3.5345776081085205,-3.5345776081085205,-3.5345776081085205,-3.5345776081085205
nci_obs_000009,-0.5531722903251648,-0.5547536611557007,-0.553082287311554,-0.5530722737312317,-0.5639736652374268,-0.5530722737312317,-0.553082287311554,-0.5530722737312317,-0.5530722737312317,-0.5530722737312317,-0.5530722737312317,-0.5530722737312317,-0.5530722737312317,-0.553082287311554,-0.5530722737312317,-0.5569397211074829,-0.5530923008918762,-0.5530722737312317,-0.5530722737312317,-0.5530722737312317
