view_id,parent_cohort,model,branch,l2_variant,metric,view_value,parent_value,delta_from_parent,n_endpoints,n_positive,n_completed_zero_candidates,n_missing_computations,mapping_sha256
pdac_rojas_sethna,pdac_full,full_hla,pr,endpoint_local_epitope_second_hla_hybrid_v1,average_precision,0.4355877291843868,0.23600864409030922,0.1995790850940776,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,full_hla,pr,logmeanexp,average_precision,0.3931294667931254,0.18859968022929935,0.20452978656382603,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,full_hla,pr,logsumexp,average_precision,0.3845560856299894,0.18565278710570604,0.19890329852428335,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,full_hla,pr,max,average_precision,0.4260632733104009,0.2335690064525155,0.1924942668578854,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,full_hla,pr,mean,average_precision,0.27251580634597256,0.16606569179377986,0.10645011455219269,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,full_hla,pr,median,average_precision,0.30086557964918054,0.1481104384219226,0.15275514122725795,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,full_hla,pr,top_frac_mean_frac0p01,average_precision,0.4260632733104009,0.214655857404545,0.2114074159058559,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,full_hla,pr,top_frac_mean_frac0p02,average_precision,0.4260632733104009,0.1887380729337058,0.23732520037669508,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,full_hla,pr,top_frac_mean_frac0p05,average_precision,0.4295135279349346,0.163311868472165,0.2662016594627696,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,full_hla,pr,top_k_logsumexp_k10,average_precision,0.38648985063713776,0.18728972899822824,0.19920012163890952,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,full_hla,pr,top_k_logsumexp_k2,average_precision,0.4602740348448325,0.2085442378619726,0.2517297969828599,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,full_hla,pr,top_k_mean_k2,average_precision,0.4675902243585319,0.20191388629247384,0.26567633806605806,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,full_hla,pr,top_k_mean_k3,average_precision,0.371609792908248,0.21296892517548172,0.1586408677327663,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,full_hla,roc,endpoint_local_epitope_second_hla_hybrid_v1,roc_auc,0.6431501230516817,0.717610891523935,-0.07446076847225325,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,full_hla,roc,logmeanexp,roc_auc,0.55701394585726,0.7119016249451032,-0.15488767908784318,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,full_hla,roc,logsumexp,roc_auc,0.6226415094339622,0.7123407992973211,-0.08969928986335884,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,full_hla,roc,max,roc_auc,0.6365873666940115,0.7147562582345192,-0.07816889154050766,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,full_hla,roc,mean,roc_auc,0.4495488105004102,0.7092665788317962,-0.25971776833138605,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,full_hla,roc,median,roc_auc,0.51681706316653,0.6611769872639438,-0.14435992409741383,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,full_hla,roc,top_frac_mean_frac0p01,roc_auc,0.6365873666940115,0.7004830917874396,-0.06389572509342811,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,full_hla,roc,top_frac_mean_frac0p02,roc_auc,0.6365873666940115,0.6895037329819939,-0.05291636628798235,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,full_hla,roc,top_frac_mean_frac0p05,roc_auc,0.6242821985233798,0.6728151075977163,-0.048532909074336494,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,full_hla,roc,top_k_logsumexp_k10,roc_auc,0.6226415094339622,0.7077294685990339,-0.08508795916507161,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,full_hla,roc,top_k_logsumexp_k2,roc_auc,0.6505332239540607,0.7226613965744401,-0.0721281726203794,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,full_hla,roc,top_k_mean_k2,roc_auc,0.6595570139458573,0.7136583223539745,-0.05410130840811722,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,full_hla,roc,top_k_mean_k3,roc_auc,0.6078753076292043,0.7059727711901624,-0.09809746356095816,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,focal_hla,pr,endpoint_local_epitope_second_hla_hybrid_v1,average_precision,0.4183526338965958,0.23790587921621267,0.18044675468038315,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,focal_hla,pr,logmeanexp,average_precision,0.41592252294975907,0.19821240361515596,0.2177101193346031,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
pdac_rojas_sethna,pdac_full,focal_hla,pr,logsumexp,average_precision,0.3981358731073486,0.18593731747305184,0.21219855563429676,76,23,0,0,8867cdc69e84101ae3115ff23218ca9455a9fb1e05471c5117a1e5e7727a4f4d
