endpoint_id,score_mono_q_full_pn__pr__regime_1225,score_mono_q_full_pn__pr__regime_1400,score_mono_q_full_pn__pr__regime_1401,score_mono_q_full_pn__pr__regime_1575,score_mono_q_full_pn__pr__regime_1750,score_mono_q_full_pn__pr__regime_1925,score_mono_q_full_pn__pr__regime_1930,score_mono_q_full_pn__pr__regime_1951,score_mono_q_full_pn__pr__regime_2100,score_mono_q_full_pn__pr__regime_2101,score_mono_q_full_pn__pr__regime_2102,score_mono_q_full_pn__pr__regime_2128,score_mono_q_full_pn__pr__regime_2275,score_mono_q_full_pn__pr__regime_2450,score_mono_q_full_pn__pr__regime_2451,score_mono_q_full_pn__pr__regime_2455,score_mono_q_full_pn__pr__regime_2625,score_mono_q_full_pn__pr__regime_2630,score_mono_q_full_pn__pr__regime_2676,score_mono_q_full_pn__pr__regime_2677
nci_obs_000000,-0.17052021622657776,-0.2537838816642761,-0.1581144630908966,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.1632315218448639,-0.14347785711288452,-0.32607975602149963,-0.21460478007793427,-0.16011549532413483,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14360786974430084,-0.1434878706932068,-0.14366789162158966,-0.14347785711288452,-0.14347785711288452
nci_obs_000001,5.535736083984375,6.214310169219971,6.214640140533447,6.214640140533447,6.214640140533447,6.214640140533447,3.5139362812042236,6.214640140533447,6.878693580627441,6.880284786224365,6.8802947998046875,6.8802947998046875,6.8802947998046875,6.8802947998046875,6.8802947998046875,4.975086688995361,6.8802947998046875,4.975086688995361,6.8802947998046875,6.8802947998046875
nci_obs_000002,-0.09519436955451965,-0.2887920141220093,-0.1714809536933899,-0.09479428827762604,-0.0948043018579483,-0.09530439227819443,-0.09737710654735565,-0.09479428827762604,-0.43674948811531067,-0.17288553714752197,-0.10751485079526901,-0.09479428827762604,-0.09479428827762604,-0.0948043018579483,-0.09479428827762604,-0.09486426413059235,-0.0953744649887085,-0.09852980822324753,-0.09479428827762604,-0.09479428827762604
nci_obs_000003,-0.20272167026996613,-0.4451100528240204,-0.27715179324150085,-0.20166116952896118,-0.20174117386341095,-0.20243145525455475,-0.2066475749015808,-0.20165115594863892,-0.5511325597763062,-0.3051442801952362,-0.24187201261520386,-0.20166116952896118,-0.20166116952896118,-0.20173116028308868,-0.20165115594863892,-0.20204122364521027,-0.20277176797389984,-0.20498399436473846,-0.20165115594863892,-0.20165115594863892
nci_obs_000004,-0.1984555423259735,-1.2395023107528687,-1.2261028289794922,-0.16667971014976501,-0.17090949416160583,-0.24597758054733276,-0.24597758054733276,-0.16779056191444397,-0.9122277498245239,-0.879266083240509,-0.8762508630752563,-0.8760408759117126,-0.16680973768234253,-0.17542964220046997,-0.16665974259376526,-0.17542964220046997,-0.36518678069114685,-0.36518678069114685,-0.17661084234714508,-0.16701987385749817
nci_obs_000005,-0.5500472784042358,-0.7520532011985779,-0.6982288360595703,-0.20987533032894135,-0.25434303283691406,-0.6914123296737671,-0.9360159039497375,-0.384304016828537,-0.5854870676994324,-0.46787354350090027,-0.44491156935691833,-0.44092366099357605,-0.21067628264427185,-0.3080749213695526,-0.2207222878932953,-0.3080749213695526,-0.4421343505382538,-0.9743790626525879,-0.4409336745738983,-0.39993876218795776
nci_obs_000006,-0.2214338630437851,-1.8636460304260254,-1.8122532367706299,-0.12473877519369125,-0.14180630445480347,-0.30765894055366516,-0.307718962430954,-0.13482698798179626,-1.4363080263137817,-1.429140329360962,-1.4288603067398071,-0.23478595912456512,-0.12528930604457855,-0.1578555405139923,-0.12468872964382172,-0.1578555405139923,-0.4471457302570343,-0.4471457302570343,-0.1892205774784088,-0.12870962917804718
nci_obs_000007,-0.14279593527317047,-0.4411891996860504,-0.2260548323392868,-0.14050418138504028,-0.14055418968200684,-0.14270561933517456,-0.1437579244375229,-0.14050418138504028,-1.0292952060699463,-0.5032199025154114,-0.27068376541137695,-0.1407342255115509,-0.14050418138504028,-0.14055418968200684,-0.14050418138504028,-0.14055418968200684,-0.14257580041885376,-0.1453605443239212,-0.14050418138504028,-0.14050418138504028
nci_obs_000008,-4.976546764373779,-4.096820831298828,-4.096820831298828,-4.096820831298828,-4.096820831298828,-4.096820831298828,-8.605803489685059,-4.096820831298828,-3.305682420730591,-3.3056623935699463,-3.3056623935699463,-3.3056623935699463,-3.3056623935699463,-3.3056623935699463,-3.3056623935699463,-6.996687889099121,-3.3056623935699463,-6.996687889099121,-3.3056623935699463,-3.3056623935699463
nci_obs_000009,-0.5587604641914368,-0.45374220609664917,-0.3456493318080902,-0.33223971724510193,-0.3322596848011017,-0.3328098952770233,-0.8315325975418091,-0.33222970366477966,-0.4579872190952301,-0.2731340527534485,-0.2191549688577652,-0.20886215567588806,-0.20887216925621033,-0.20892217755317688,-0.20886215567588806,-0.38531357049942017,-0.21053355932235718,-0.38692495226860046,-0.20886215567588806,-0.20886215567588806
