endpoint_id,score_focal_hla__logmeanexp,score_focal_hla__logsumexp,score_focal_hla__max,score_focal_hla__mean,score_focal_hla__median,score_focal_hla__top_frac_mean_frac0p01,score_focal_hla__top_frac_mean_frac0p02,score_focal_hla__top_frac_mean_frac0p05,score_focal_hla__top_k_logsumexp_k10,score_focal_hla__top_k_logsumexp_k2,score_focal_hla__top_k_mean_k2,score_focal_hla__top_k_mean_k3,score_full_hla__logmeanexp,score_full_hla__logsumexp,score_full_hla__max,score_full_hla__mean,score_full_hla__median,score_full_hla__top_frac_mean_frac0p01,score_full_hla__top_frac_mean_frac0p02,score_full_hla__top_frac_mean_frac0p05,score_full_hla__top_k_logsumexp_k10,score_full_hla__top_k_logsumexp_k2,score_full_hla__top_k_mean_k2,score_full_hla__top_k_mean_k3,score_full_q_mono_pn__logmeanexp,score_full_q_mono_pn__logsumexp,score_full_q_mono_pn__max,score_full_q_mono_pn__mean,score_full_q_mono_pn__median,score_full_q_mono_pn__top_frac_mean_frac0p01,score_full_q_mono_pn__top_frac_mean_frac0p02,score_full_q_mono_pn__top_frac_mean_frac0p05,score_full_q_mono_pn__top_k_logsumexp_k10,score_full_q_mono_pn__top_k_logsumexp_k2,score_full_q_mono_pn__top_k_mean_k2,score_full_q_mono_pn__top_k_mean_k3,score_mono_q_full_pn__logmeanexp,score_mono_q_full_pn__logsumexp,score_mono_q_full_pn__max,score_mono_q_full_pn__mean,score_mono_q_full_pn__median,score_mono_q_full_pn__top_frac_mean_frac0p01,score_mono_q_full_pn__top_frac_mean_frac0p02,score_mono_q_full_pn__top_frac_mean_frac0p05,score_mono_q_full_pn__top_k_logsumexp_k10,score_mono_q_full_pn__top_k_logsumexp_k2,score_mono_q_full_pn__top_k_mean_k2,score_mono_q_full_pn__top_k_mean_k3,score_old_monoallelic__logmeanexp,score_old_monoallelic__logsumexp,score_old_monoallelic__max,score_old_monoallelic__mean,score_old_monoallelic__median,score_old_monoallelic__top_frac_mean_frac0p01,score_old_monoallelic__top_frac_mean_frac0p02,score_old_monoallelic__top_frac_mean_frac0p05,score_old_monoallelic__top_k_logsumexp_k10,score_old_monoallelic__top_k_logsumexp_k2,score_old_monoallelic__top_k_mean_k2,score_old_monoallelic__top_k_mean_k3,score_full_hla__self_gated_hillq_pdac_selected,score_focal_hla__self_gated_hillq_pdac_selected,score_old_monoallelic__self_gated_hillq_pdac_selected,score_mono_q_full_pn__self_gated_hillq_pdac_selected,score_full_q_mono_pn__self_gated_hillq_pdac_selected,score_full_hla__self_gated_hillq_all_contexts_selected,score_focal_hla__self_gated_hillq_all_contexts_selected,score_old_monoallelic__self_gated_hillq_all_contexts_selected,score_mono_q_full_pn__self_gated_hillq_all_contexts_selected,score_full_q_mono_pn__self_gated_hillq_all_contexts_selected
covid_spike.5a2889a652486793fe6cdddfbfa41408a6653986af2acddfc12bd54f413655ac,-11.293428,-6.7395515,-7.074521,-26.831099,-27.631021,-7.074521,-7.883718,-12.432475,-6.7395515,-6.893687,-7.883718,-8.356218,-9.852551,-5.2986746,-6.5724106,-26.749256,-27.631021,-6.5724106,-6.6026077,-10.877495,-5.2986746,-5.9090047,-6.6026077,-6.651462,-10.187157,-5.6332803,-6.5689683,-26.767385,-27.631021,-6.5689683,-6.7388105,-11.221933,-5.6332803,-6.0313087,-6.7388105,-6.875656,-7.6388626,-3.0849855,-4.166786,-26.658188,-27.631021,-4.166786,-4.192828,-9.147194,-3.0849855,-3.499342,-4.192828,-4.405115,-8.246549,-3.6926718,-4.626046,-26.691936,-27.631021,-4.626046,-4.749776,-9.788411,-3.6926718,-4.0489936,-4.749776,-4.8563776,-5.619746517834831,-6.902145568613817,-4.059697485035214,-3.451699131430014,-5.898226445307483,-5.312082100321765,-6.743077494936062,-3.9507334331078736,-3.096372762814947,-5.643129763281754
covid_spike.5a2f080c47a8212e5d8f6cf7f396c62933ba9ff69e7af227a64231e5b4df0d77,-27.631021,-24.922972,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631021,-24.922972,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631021,-24.922972,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631021,-24.922972,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631021,-24.922972,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-25.1035075949366,-25.1035075949366,-25.1035075949366,-25.1035075949366,-25.1035075949366,-25.1035075949366,-25.1035075949366,-25.1035075949366,-25.1035075949366,-25.1035075949366
covid_spike.5a3c3ba4c6b156f74129f9f194652282b6f723c2a72b4b1fd688c1ba3a91f02a,-4.9071484,-0.5251219,-0.8830418,-26.462854,-27.631021,-0.8830418,-1.3088762,-4.267694,-0.5251219,-0.5276761,-1.3088762,-3.1902661,-4.8282547,-0.44622812,-0.88301176,-26.442574,-27.631021,-0.88301176,-1.1910061,-3.8620775,-0.44622812,-0.4511601,-1.1910061,-2.8372169,-4.806766,-0.4247395,-0.88328195,-26.441967,-27.631021,-0.88328195,-1.1606741,-3.8499315,-0.4247395,-0.42953718,-1.1606741,-2.8190217,-3.9513946,0.4306322,-0.2197212,-26.35531,-27.631021,-0.2197212,-0.29283303,-2.1167939,0.4306322,0.40298447,-0.29283303,-1.3769872,-3.9258196,0.456207,-0.21938112,-26.354761,-27.631021,-0.21938112,-0.26472512,-2.1058035,0.456207,0.42944974,-0.26472512,-1.3608187,-0.8830117599531436,-0.8830417999632417,-0.21938111996137222,-0.2197211999637996,-0.8832819499744173,-0.6508170128615705,-0.6502047212776774,-0.09912064332912379,-0.2181233308228916,-0.883281949973643
covid_spike.5a4c167223bf44aff4b544ecc8bf82d553be7eb9927eec04ab10971d0648c6c6,-8.156147,-3.419949,-3.6058145,-26.885471,-27.631021,-4.5279164,-5.2620983,-13.46557,-3.419949,-3.4589896,-4.5279164,-5.2620983,-7.0382853,-2.3020868,-2.434738,-26.836922,-27.631021,-3.671218,-4.2641582,-12.54311,-2.3020868,-2.3537712,-3.671218,-4.2641582,-7.2517557,-2.5155575,-2.6698945,-26.843287,-27.631021,-3.8329606,-4.3719797,-12.664047,-2.5155575,-2.576702,-3.8329606,-4.3719797,-5.613556,-0.8773573,-1.2478417,-26.768648,-27.631021,-1.7666891,-2.534011,-11.245931,-0.8773573,-0.9445788,-1.7666891,-2.534011,-6.078882,-1.3426836,-1.8147436,-26.783268,-27.631021,-2.1907854,-2.8166986,-11.523696,-1.3426836,-1.4285406,-2.1907854,-2.8166986,-2.404802434151552,-3.5422969353284257,-1.6371149494630293,-1.1331396701868193,-2.621955778638523,-2.3032506107278583,-3.421579541436011,-1.5026841834953573,-0.8806071756568757,-2.516911400729617
covid_spike.5a6188d635501e1a112e0b1b8ffd3e658acf6d73deb6b06c211047c0b1b2107a,-4.2051864,-0.33398512,-0.8535639,-26.045298,-27.631021,-0.8535639,-0.8535639,-2.2594402,-0.33398512,-0.34737268,-1.0621097,-2.2594402,-4.2054324,-0.33423144,-0.85375553,-26.045313,-27.631021,-0.85375553,-0.85375553,-2.259675,-0.33423144,-0.34761986,-1.0623713,-2.259675,-4.2201405,-0.34893927,-0.87844104,-26.04633,-27.631021,-0.87844104,-0.87844104,-2.2759418,-0.34893927,-0.36219376,-1.0744239,-2.2759418,-3.3196387,0.5515622,-0.13391334,-25.978943,-27.631021,-0.13391334,-0.13391334,-1.1977493,0.5515622,0.5293051,-0.16430378,-1.1977493,-3.321188,0.55001307,-0.13926697,-25.97911,-27.631021,-0.13926697,-0.13926697,-1.2004371,0.55001307,0.5278417,-0.16565362,-1.2004371,-0.8537555299702164,-0.8535638999696273,-0.13926696996003407,-0.13391333996040733,-0.8784410399689482,-0.6479449374140682,-0.6498742870315846,-0.09790479792410176,-0.13391333980465658,-0.878441039969821
covid_spike.5a7eb89e5607b96fe2524e26e0c0a40ed07a662f2e535d37ebb8d4a560b445e1,-13.41462,-9.083887,-9.083888,-27.38698,-27.631021,-9.083888,-18.357454,-22.994238,-9.083888,-9.083888,-18.357454,-21.448643,-12.700642,-8.369908,-8.369908,-27.377586,-27.631021,-8.369908,-18.000465,-22.815742,-8.369908,-8.369908,-18.000465,-21.210651,-12.1322775,-7.801544,-7.801544,-27.370108,-27.631021,-7.801544,-17.716282,-22.673653,-7.801544,-7.801544,-17.716282,-21.021196,-11.394081,-7.0633473,-7.0633473,-27.360394,-27.631021,-7.0633473,-17.347185,-22.489103,-7.0633473,-7.0633473,-17.347185,-20.77513,-11.68989,-7.359157,-7.359157,-27.364286,-27.631021,-7.359157,-17.495089,-22.563055,-7.359157,-7.359157,-17.495089,-20.873734,-8.369907999999896,-9.083887999999344,-7.359156999999993,-7.063347299999997,-7.801543999999949,-8.36990768065457,-9.083887347824145,-7.359156999346501,-7.063347213568996,-7.8015438191284066
covid_spike.5a8a07db2ce6eb1b1dddc9ddcdce106a4a8d360da72f3961857dc07674e9bc35,-5.9922285,-1.6102021,-1.8631254,-26.433872,-27.631021,-1.8631254,-2.890663,-3.6880472,-1.6102021,-1.7426054,-2.890663,-3.274878,-5.9938684,-1.6118417,-1.8645546,-26.433975,-27.631021,-1.8645546,-2.8925736,-3.6900811,-1.6118417,-1.744144,-2.8925736,-3.2770288,-6.0047417,-1.6227149,-1.8696766,-26.435234,-27.631021,-1.8696766,-2.9076176,-3.7152576,-1.6227149,-1.7514974,-2.9076176,-3.2994776,-4.5901837,-0.20815721,-0.56009877,-26.354034,-27.631021,-0.56009877,-1.3964317,-2.091269,-0.20815721,-0.38804144,-1.3964317,-1.723876,-4.5892205,-0.20719387,-0.5575984,-26.35411,-27.631021,-0.5575984,-1.3974544,-2.0928223,-0.20719387,-0.3866516,-1.3974544,-1.7244947,-1.7690612149172273,-1.7519220778727131,-0.4540198771117291,-0.4556852765795271,-1.762644390265562,-1.6150005413100637,-1.6133636153577746,-0.31985360179244043,-0.25983184152339417,-1.6258019333149614
covid_spike.5aa765b411ab24b35f73e3b237d682b72032632923ba944010ca81476d127a13,-27.631023,-24.452969,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631023,-24.452969,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631023,-24.452969,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631023,-24.452969,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631023,-24.452969,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-24.585386195222753,-24.585386195222753,-24.585386195222753,-24.585386195222753,-24.585386195222753,-24.585386195222753,-24.585386195222753,-24.585386195222753,-24.585386195222753,-24.585386195222753
covid_spike.5acc55cae70419ebfdbb3268edf21d3a460213b270d27cb59f8a832575efbd22,-4.7778735,-0.04167497,-0.48659003,-26.070282,-27.631021,-0.82123876,-1.866952,-3.9044657,-0.04167497,-0.073111646,-0.82123876,-1.866952,-4.774075,-0.037876535,-0.4883805,-26.004875,-27.631021,-0.8230344,-1.8451093,-3.7286716,-0.037876535,-0.0749056,-0.8230344,-1.8451093,-5.06071,-0.32451132,-0.78191334,-26.032093,-27.631021,-1.1166686,-2.040615,-3.9776177,-0.32451132,-0.36850712,-1.1166686,-2.040615,-4.222329,0.51386935,-0.16079353,-25.896334,-27.631021,-0.30315548,-1.0546603,-2.3744004,0.51386935,0.40009114,-0.30315548,-1.0546603,-4.3120837,0.42411485,-0.23156473,-25.92709,-27.631021,-0.37394977,-1.1026587,-2.6052167,0.42411485,0.32930008,-0.37394977,-1.1026587,-0.488380499974468,-0.48659002997392,-0.23156472996329153,-0.16079352996146207,-0.7819133399723774,-0.48838049997400723,-0.4865900299743297,-0.09903933769790353,-0.16079349523902003,-0.7819133399736092
covid_spike.5ad4eb064623111c573e8aa825ef979519becbc10c883ca09d0429103db59948,-9.372138,-4.489336,-4.6131015,-27.0281,-27.631021,-5.70061,-6.7149396,-16.261631,-4.489336,-4.505498,-5.70061,-6.7149396,-7.8120623,-2.92926,-3.52202,-26.952875,-27.631021,-3.6813097,-4.573655,-14.8431015,-2.92926,-2.9755294,-3.6813097,-4.573655,-7.9393306,-3.0565286,-3.409549,-26.972435,-27.631021,-3.868628,-5.0707417,-15.211964,-3.0565286,-3.07361,-3.868628,-5.0707417,-6.072735,-1.1899326,-1.6853263,-26.896988,-27.631021,-1.9799998,-2.886547,-13.789253,-1.1899326,-1.2440505,-1.9799998,-2.886547,-6.962714,-2.079912,-2.6892548,-26.936394,-27.631021,-2.8023727,-3.96207,-14.53232,-2.079912,-2.1028414,-2.8023727,-3.96207,-3.2069052663929565,-4.581756391589499,-2.411216655292243,-1.4917912558078528,-3.249375524034636,-2.9337505675476097,-4.490273499582889,-2.31606809157792,-1.193685487680611,-3.059202975095623
