comparison,comparison_label,empirical_order,mean_paired_auroc_difference,supported_magnitude,supported_magnitude_lower,supported_magnitude_upper,survivor_count,evaluation_count,literal_subset_survival,literal_survival_lower,literal_survival_upper,verdict,breakdown_kind
esm1v_ensemble_vs_eve_ensemble,ESM-1v ensemble − EVE ensemble,2,-0.013917837489895798,-0.0662532478377269,-0.0662532478377269,-0.0662532478377269,56,91,0.3760683760683761,0.3760683760683761,0.3760683760683761,verified_failure,at_baseline
esm2_650m_vs_esm1v_ensemble,ESM-2 650M − ESM-1v ensemble,2,0.004041257436447252,-0.044549881946108615,-0.044549881946108615,-0.044549881946108615,48,91,0.2754578754578755,0.2754578754578755,0.2754578754578755,verified_failure,at_baseline
esm2_650m_vs_eve_ensemble,ESM-2 650M − EVE ensemble,2,-0.009876580053448542,-0.06585075508156489,-0.06585075508156489,-0.06585075508156489,56,91,0.3760683760683761,0.3760683760683761,0.3760683760683761,verified_failure,at_baseline
