endpoint_id,score_old_monoallelic__pr__regime_1050,score_old_monoallelic__pr__regime_1225,score_old_monoallelic__pr__regime_1230,score_old_monoallelic__pr__regime_1575,score_old_monoallelic__pr__regime_1750,score_old_monoallelic__pr__regime_1755,score_old_monoallelic__pr__regime_1925,score_old_monoallelic__pr__regime_1926,score_old_monoallelic__pr__regime_1930,score_old_monoallelic__pr__regime_2275,score_old_monoallelic__pr__regime_2280,score_old_monoallelic__pr__regime_2450,score_old_monoallelic__pr__regime_2455,score_old_monoallelic__pr__regime_2460,score_old_monoallelic__pr__regime_2625,score_old_monoallelic__pr__regime_2626,score_old_monoallelic__pr__regime_2630,score_old_monoallelic__pr__regime_2631,score_old_monoallelic__pr__regime_2635,score_old_monoallelic__pr__regime_525
nci_obs_000000,-0.14347785711288452,-0.14347785711288452,-0.1435478925704956,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14350783824920654,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14347785711288452,-0.14350783824920654,-0.14347785711288452,-0.1435878425836563,-0.14347785711288452,-0.1435878425836563,-0.14347785711288452
nci_obs_000001,6.817883014678955,6.817883014678955,4.612254619598389,7.386240482330322,7.386240482330322,5.995910167694092,7.386240482330322,7.386240482330322,5.995910167694092,7.835620880126953,7.147171497344971,7.835620880126953,7.147171497344971,6.101346969604492,7.835620880126953,7.835620880126953,7.147171497344971,7.147171497344971,6.101346969604492,6.160459518432617
nci_obs_000002,-0.0948043018579483,-0.09544448554515839,-0.0969465970993042,-0.09479428827762604,-0.09483428299427032,-0.09492429345846176,-0.09716709703207016,-0.09482426941394806,-0.09737710654735565,-0.09479428827762604,-0.09479428827762604,-0.09490425884723663,-0.09490425884723663,-0.09490425884723663,-0.10369376093149185,-0.09504429996013641,-0.10369376093149185,-0.09504429996013641,-0.10369376093149185,-0.09553445875644684
nci_obs_000003,-0.2016911506652832,-0.2019011676311493,-0.20358291268348694,-0.20165115594863892,-0.20168113708496094,-0.20177115499973297,-0.20221130549907684,-0.20166116952896118,-0.20355287194252014,-0.20165115594863892,-0.20166116952896118,-0.20170117914676666,-0.20173116028308868,-0.20182116329669952,-0.20350287854671478,-0.20168113708496094,-0.2035328596830368,-0.20171111822128296,-0.20389296114444733,-0.20207121968269348
nci_obs_000004,-0.19990207254886627,-0.5991413593292236,-0.5991413593292236,-0.1694340854883194,-0.23425547778606415,-0.23425547778606415,-0.3642633557319641,-0.36367321014404297,-0.8483775854110718,-0.17150232195854187,-0.17150232195854187,-0.23349186778068542,-0.3000682592391968,-0.3000682592391968,-0.23510324954986572,-0.23346182703971863,-0.45119068026542664,-0.44954925775527954,-0.8545411229133606,-0.3520384728908539
nci_obs_000005,-0.3140968382358551,-0.31691113114356995,-0.6163451075553894,-0.21993349492549896,-0.2308226078748703,-0.3194085657596588,-0.23779906332492828,-0.23077258467674255,-0.3263850212097168,-0.21090666949748993,-0.22252461314201355,-0.21161693334579468,-0.2232348769903183,-0.2613397240638733,-0.2282360941171646,-0.2118971347808838,-0.23985403776168823,-0.2235150784254074,-0.27795886993408203,-0.5112907290458679
nci_obs_000006,-0.2270738035440445,-1.1071760654449463,-1.3011571168899536,-0.13551466166973114,-0.32120847702026367,-0.32120847702026367,-0.742818295955658,-0.7249211072921753,-1.8550785779953003,-0.14309997856616974,-0.14309997856616974,-0.4546867311000824,-0.4948637783527374,-0.4948637783527374,-0.4568796157836914,-0.45449671149253845,-1.1612223386764526,-1.1588393449783325,-2.1850996017456055,-0.6300919651985168
nci_obs_000007,-0.1405642032623291,-0.14260536432266235,-0.14495404064655304,-0.14050418138504028,-0.14055418968200684,-0.14055418968200684,-0.14612996578216553,-0.1405642032623291,-0.14612996578216553,-0.14050418138504028,-0.14050418138504028,-0.1406741887331009,-0.1406741887331009,-0.1406741887331009,-0.16233065724372864,-0.14104434847831726,-0.16233065724372864,-0.14104434847831726,-0.16233065724372864,-0.1425456404685974
nci_obs_000008,-4.236320972442627,-4.236320972442627,-9.124908447265625,-3.390305280685425,-3.390305280685425,-7.357545375823975,-3.390305280685425,-3.390305280685425,-7.357545375823975,-2.639145612716675,-5.764514446258545,-2.639145612716675,-5.764514446258545,-9.551774978637695,-2.639145612716675,-2.639145612716675,-5.764514446258545,-5.764514446258545,-9.551774978637695,-5.163877010345459
nci_obs_000009,-0.16463449597358704,-0.16574522852897644,-0.4404333531856537,-0.16455450654029846,-0.1646445095539093,-0.21115128695964813,-0.16622592508792877,-0.16455450654029846,-0.21548181772232056,-0.16455450654029846,-0.16616575419902802,-0.16474448144435883,-0.16669592261314392,-0.1782912313938141,-0.1684119552373886,-0.16456452012062073,-0.17671148478984833,-0.1662457436323166,-0.1883067935705185,-0.1653348058462143
nci_obs_000010,-6.417222499847412,-6.417222499847412,-10.538273811340332,-5.7498016357421875,-5.7498016357421875,-9.003252983093262,-5.7498016357421875,-5.7498016357421875,-9.003252983093262,-5.134163856506348,-7.5919952392578125,-5.134163856506348,-7.5919952392578125,-10.566009521484375,-5.134163856506348,-5.134163856506348,-7.5919952392578125,-7.5919952392578125,-10.566009521484375,-7.165340900421143
nci_obs_000011,-0.08825809508562088,-0.09678183495998383,-0.09782922267913818,-0.08750785887241364,-0.08794796466827393,-0.08797794580459595,-0.09486500173807144,-0.08767786622047424,-0.09489498287439346,-0.08751781284809113,-0.08751781284809113,-0.08838820457458496,-0.08838820457458496,-0.08838820457458496,-0.10481714457273483,-0.08823811262845993,-0.10481714457273483,-0.08823811262845993,-0.10481714457273483,-0.0946836769580841
