endpoint_id,score_focal_hla__roc__regime_2100,score_focal_hla__roc__regime_2101,score_focal_hla__roc__regime_2127,score_focal_hla__roc__regime_2153,score_focal_hla__roc__regime_2154,score_focal_hla__roc__regime_2275,score_focal_hla__roc__regime_2277,score_focal_hla__roc__regime_2278,score_focal_hla__roc__regime_2279,score_focal_hla__roc__regime_2326,score_focal_hla__roc__regime_2450,score_focal_hla__roc__regime_2452,score_focal_hla__roc__regime_2453,score_focal_hla__roc__regime_2454,score_focal_hla__roc__regime_2476,score_focal_hla__roc__regime_2625,score_focal_hla__roc__regime_2629,score_focal_hla__roc__regime_2653,score_focal_hla__roc__regime_2676,score_focal_hla__roc__regime_2677
nci_obs_000000,-0.694546103477478,-0.5932626128196716,-0.5212273597717285,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188846588134766,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543,-0.5188746452331543
nci_obs_000001,6.4867987632751465,6.488229751586914,6.488239765167236,6.488239765167236,6.488239765167236,6.488239765167236,6.488239765167236,6.488239765167236,6.488239765167236,6.488239765167236,6.488239765167236,6.488239765167236,6.488239765167236,6.488239765167236,6.488239765167236,6.488239765167236,6.488239765167236,6.488239765167236,6.488239765167236,6.488239765167236
nci_obs_000002,-1.2170394659042358,-0.9532340168952942,-0.8799681663513184,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483,-0.8752068281173706,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483,-0.8757769465446472,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483,-0.8751968145370483
nci_obs_000003,-1.4673078060150146,-1.254239559173584,-1.2042710781097412,-1.1632148027420044,-1.1632148027420044,-1.1632148027420044,-1.1632148027420044,-1.1632148027420044,-1.1632148027420044,-1.1632148027420044,-1.1632248163223267,-1.1632148027420044,-1.1632148027420044,-1.1632148027420044,-1.1632148027420044,-1.1636148691177368,-1.1632148027420044,-1.1632148027420044,-1.1632148027420044,-1.1632148027420044
nci_obs_000004,-1.7567304372787476,-1.7241127490997314,-1.7211878299713135,-1.7209477424621582,-1.302752137184143,-1.0066722631454468,-1.006352186203003,-1.006352186203003,-1.006352186203003,-1.006352186203003,-1.0152113437652588,-1.006352186203003,-1.006352186203003,-1.006352186203003,-1.006352186203003,-1.203121542930603,-1.006352186203003,-1.006352186203003,-1.0162409543991089,-1.0068622827529907
nci_obs_000005,-1.4594918489456177,-1.3436356782913208,-1.3218837976455688,-1.3173636198043823,-1.3173636198043823,-1.083206295967102,-1.0817551612854004,-1.0817551612854004,-1.0817551612854004,-1.0817551612854004,-1.1775505542755127,-1.0825555324554443,-1.0817551612854004,-1.0817551612854004,-1.086114764213562,-1.318534255027771,-1.0817551612854004,-1.081775188446045,-1.3173736333847046,-1.2606666088104248
nci_obs_000006,-2.271216869354248,-2.26416015625,-2.263890266418457,-1.050308346748352,-0.9494598507881165,-0.9507206082344055,-0.9494598507881165,-0.9494598507881165,-0.9494598507881165,-0.9494598507881165,-0.9832338094711304,-0.9494698643684387,-0.9494598507881165,-0.9494598507881165,-0.9494898319244385,-1.272202730178833,-0.9494598507881165,-0.9494598507881165,-1.014563798904419,-0.9541608691215515
nci_obs_000007,-1.3048677444458008,-0.8088700175285339,-0.5269457101821899,-0.48925089836120605,-0.48921090364456177,-0.48921090364456177,-0.48921090364456177,-0.48921090364456177,-0.48921090364456177,-0.48921090364456177,-0.48925089836120605,-0.48921090364456177,-0.48921090364456177,-0.48921090364456177,-0.48921090364456177,-0.49111202359199524,-0.48921090364456177,-0.48921090364456177,-0.48921090364456177,-0.48921090364456177
nci_obs_000008,-4.887947082519531,-4.887937068939209,-4.887937068939209,-4.887937068939209,-4.887937068939209,-4.887937068939209,-4.887937068939209,-4.887937068939209,-4.887937068939209,-4.887937068939209,-4.887937068939209,-4.887937068939209,-4.887937068939209,-4.887937068939209,-4.887937068939209,-4.887937068939209,-4.887937068939209,-4.887937068939209,-4.887937068939209,-4.887937068939209
nci_obs_000009,-0.8389463424682617,-0.6894548535346985,-0.6668915152549744,-0.6659610271453857,-0.6659610271453857,-0.6659610271453857,-0.6659610271453857,-0.6659610271453857,-0.6659610271453857,-0.6659610271453857,-0.66600102186203,-0.6659610271453857,-0.6659610271453857,-0.6659610271453857,-0.6659610271453857,-0.666631281375885,-0.6659610271453857,-0.6659610271453857,-0.6659610271453857,-0.6659610271453857
