endpoint_id,score_focal_hla__logmeanexp,score_focal_hla__logsumexp,score_focal_hla__max,score_focal_hla__mean,score_focal_hla__median,score_focal_hla__top_frac_mean_frac0p01,score_focal_hla__top_frac_mean_frac0p02,score_focal_hla__top_frac_mean_frac0p05,score_focal_hla__top_k_logsumexp_k10,score_focal_hla__top_k_logsumexp_k2,score_focal_hla__top_k_mean_k2,score_focal_hla__top_k_mean_k3,score_full_hla__logmeanexp,score_full_hla__logsumexp,score_full_hla__max,score_full_hla__mean,score_full_hla__median,score_full_hla__top_frac_mean_frac0p01,score_full_hla__top_frac_mean_frac0p02,score_full_hla__top_frac_mean_frac0p05,score_full_hla__top_k_logsumexp_k10,score_full_hla__top_k_logsumexp_k2,score_full_hla__top_k_mean_k2,score_full_hla__top_k_mean_k3,score_full_q_mono_pn__logmeanexp,score_full_q_mono_pn__logsumexp,score_full_q_mono_pn__max,score_full_q_mono_pn__mean,score_full_q_mono_pn__median,score_full_q_mono_pn__top_frac_mean_frac0p01,score_full_q_mono_pn__top_frac_mean_frac0p02,score_full_q_mono_pn__top_frac_mean_frac0p05,score_full_q_mono_pn__top_k_logsumexp_k10,score_full_q_mono_pn__top_k_logsumexp_k2,score_full_q_mono_pn__top_k_mean_k2,score_full_q_mono_pn__top_k_mean_k3,score_mono_q_full_pn__logmeanexp,score_mono_q_full_pn__logsumexp,score_mono_q_full_pn__max,score_mono_q_full_pn__mean,score_mono_q_full_pn__median,score_mono_q_full_pn__top_frac_mean_frac0p01,score_mono_q_full_pn__top_frac_mean_frac0p02,score_mono_q_full_pn__top_frac_mean_frac0p05,score_mono_q_full_pn__top_k_logsumexp_k10,score_mono_q_full_pn__top_k_logsumexp_k2,score_mono_q_full_pn__top_k_mean_k2,score_mono_q_full_pn__top_k_mean_k3,score_old_monoallelic__logmeanexp,score_old_monoallelic__logsumexp,score_old_monoallelic__max,score_old_monoallelic__mean,score_old_monoallelic__median,score_old_monoallelic__top_frac_mean_frac0p01,score_old_monoallelic__top_frac_mean_frac0p02,score_old_monoallelic__top_frac_mean_frac0p05,score_old_monoallelic__top_k_logsumexp_k10,score_old_monoallelic__top_k_logsumexp_k2,score_old_monoallelic__top_k_mean_k2,score_old_monoallelic__top_k_mean_k3
covid_nonspike.438f2bf2d244953b34d7a32845643f02619ce36ece0afc16a03b0b3f9460ff94,-27.631023,-22.74822,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631023,-22.74822,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631023,-22.74822,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631023,-22.74822,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631023,-22.74822,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021
covid_nonspike.43b3d307e5303fee5e48c643317c7981c7ccb7df1d6d1b5e333a71c1c152223d,-5.149935,-0.26713267,-0.72089285,-26.372261,-27.631021,-1.2456281,-1.5779574,-6.086944,-0.26713267,-0.42069706,-1.2456281,-1.5779574,-5.1480145,-0.26521263,-0.72162956,-26.270329,-27.631021,-1.2458878,-1.5784086,-4.7806277,-0.26521263,-0.4211863,-1.2458878,-1.5784086,-5.1575885,-0.2747865,-0.7289625,-26.308636,-27.631021,-1.2545388,-1.5865641,-5.247792,-0.2747865,-0.42920268,-1.2545388,-1.5865641,-4.412521,0.47028092,-0.23649023,-26.17047,-27.631021,-0.5155642,-0.7202465,-3.146801,0.47028092,0.21602891,-0.5155642,-0.7202465,-4.4226956,0.46010652,-0.23401697,-26.231232,-27.631021,-0.5133864,-0.7179444,-4.017573,0.46010652,0.21828711,-0.5133864,-0.7179444
covid_nonspike.43c4066714081b98ca35b8a6a16f4ec4afa570be5e599d604f497ae71a3e67c0,-5.7123446,-0.8295426,-0.8295426,-27.42798,-27.631021,-14.230282,-18.697195,-23.802238,-0.8295426,-0.8295426,-14.230282,-18.697195,-5.7123055,-0.82950366,-0.82950366,-27.42798,-27.631021,-14.230263,-18.697182,-23.802233,-0.82950366,-0.82950366,-14.230263,-18.697182,-5.736171,-0.853369,-0.853369,-27.42816,-27.631021,-14.242195,-18.705137,-23.805643,-0.853369,-0.853369,-14.242195,-18.705137,-5.0841174,-0.20131524,-0.20131524,-27.423222,-27.631021,-13.916168,-18.487785,-23.712492,-0.20131524,-0.20131524,-13.916168,-18.487785,-5.087437,-0.20463511,-0.20463511,-27.423246,-27.631021,-13.917829,-18.488894,-23.712967,-0.20463511,-0.20463511,-13.917829,-18.488894
covid_nonspike.44910d543f5b8b38917a277a1f83b623f56e9d2736fe4630d89ccd46326986ff,-27.631023,-22.74822,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631023,-22.74822,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631023,-22.74822,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631023,-22.74822,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631023,-22.74822,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021
covid_nonspike.449efa7fb24d65b9290fdbc423a430abdab4b952fd699ceab805d5a364be9e29,-7.451724,-2.568922,-2.6615775,-26.731037,-27.631021,-3.8503952,-5.4768567,-10.659904,-2.568922,-2.572862,-3.8503952,-5.4768567,-6.7623544,-1.8795525,-1.9620032,-26.632822,-27.631021,-3.4439006,-4.40391,-8.807825,-1.8795525,-1.9116689,-3.4439006,-4.40391,-6.7513633,-1.8685611,-1.9339921,-26.664425,-27.631021,-3.3719158,-4.731961,-9.403783,-1.8685611,-1.8791552,-3.3719158,-4.731961,-5.6328216,-0.7500197,-0.95690274,-26.54705,-27.631021,-2.03864,-2.6480703,-7.1904316,-0.7500197,-0.8481155,-2.03864,-2.6480703,-5.850643,-0.9678409,-1.1315311,-26.597055,-27.631021,-2.0679402,-3.3131804,-8.133376,-0.9678409,-0.9885657,-2.0679402,-3.3131804
covid_nonspike.450bf0109103ccd748961b9fadbedeccfc49490311d3b4f5fa5d3ed0259d9469,-9.0561,-4.173298,-4.1833916,-26.867456,-27.631021,-6.813195,-7.724644,-13.232348,-4.173298,-4.178208,-6.813195,-7.724644,-8.532873,-3.650071,-3.7121344,-26.714375,-27.631021,-5.621213,-6.310696,-10.345661,-3.650071,-3.690404,-5.621213,-6.310696,-7.804997,-2.922195,-2.9357178,-26.78275,-27.631021,-5.4102926,-6.302763,-11.635034,-2.922195,-2.9286535,-5.4102926,-6.302763,-7.3908014,-2.5079992,-2.7057219,-26.624372,-27.631021,-3.833982,-4.548383,-8.648503,-2.5079992,-2.6061351,-3.833982,-4.548383,-7.4211783,-2.5383763,-2.5635366,-26.732555,-27.631021,-4.63636,-5.593104,-10.688513,-2.5383763,-2.5478275,-4.63636,-5.593104
covid_nonspike.4527234b12ad7a2cbafecf00066d885e524cd0e64f5fda114bfb0c150e6548a8,-16.837002,-11.954199,-11.954219,-27.512259,-27.631021,-19.79262,-22.40542,-25.391478,-11.954218,-11.954219,-19.79262,-22.40542,-11.775244,-6.892442,-6.892442,-27.473911,-27.631021,-17.261732,-20.718163,-24.668367,-6.892442,-6.892442,-17.261732,-20.718163,-15.104058,-10.221256,-10.22126,-27.49913,-27.631021,-18.92614,-21.827768,-25.143913,-10.22126,-10.22126,-18.92614,-21.827768,-9.94755,-5.0647473,-5.0647473,-27.460064,-27.631021,-16.347885,-20.10893,-24.407269,-5.0647473,-5.0647473,-16.347885,-20.10893,-13.820634,-8.937832,-8.937833,-27.489407,-27.631021,-18.284428,-21.39996,-24.960566,-8.937833,-8.937833,-18.284428,-21.39996
covid_nonspike.45609b8c6ab4b6f72ba332e5ea137a53ff98c8d825c17819e868cdacf0cbf8c4,-7.1669674,-2.2841651,-2.9007342,-27.257528,-27.631021,-2.9804895,-11.197333,-20.588013,-2.2841651,-2.2841651,-2.9804895,-11.197333,-7.1675797,-2.2847774,-2.9015954,-27.257538,-27.631021,-2.98108,-11.197727,-20.58818,-2.2847774,-2.2847774,-2.98108,-11.197727,-7.17778,-2.2949781,-2.9115705,-27.257692,-27.631021,-2.9913006,-11.204541,-20.5911,-2.2949781,-2.2949781,-2.9913006,-11.204541,-5.9088173,-1.026015,-1.6641135,-27.238441,-27.631021,-1.7207662,-10.357518,-20.228092,-1.026015,-1.026015,-1.7207662,-10.357518,-5.909849,-1.0270469,-1.664895,-27.238459,-27.631021,-1.7218131,-10.358216,-20.22839,-1.0270469,-1.0270469,-1.7218131,-10.358216
covid_nonspike.45661aa00c67f25dea95d6328c1bb2cf55fadd271f0880f4072a6c602be6c440,-27.631023,-22.74822,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631023,-22.74822,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631023,-22.74822,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631023,-22.74822,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021,-27.631023,-22.74822,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-27.631021,-25.328436,-26.937874,-27.631021,-27.631021
covid_nonspike.4599b2b0a6ffe557621f20e4c036a9ff48010edd01df330d1694303ca895c5b9,-8.988766,-4.105964,-4.202381,-26.749744,-27.631021,-5.7742596,-6.304642,-11.012661,-4.105964,-4.1601644,-5.7742596,-6.304642,-8.560623,-3.6778214,-4.104678,-26.662767,-27.631021,-4.84653,-5.192079,-9.372505,-3.6778214,-3.9002721,-4.84653,-5.192079,-8.391293,-3.5084906,-3.9466991,-26.680021,-27.631021,-4.408761,-5.027134,-9.6978655,-3.5084906,-3.6124587,-4.408761,-5.027134,-6.74781,-1.8650079,-2.3756359,-26.576519,-27.631021,-2.8467875,-3.3829253,-7.7461014,-1.8650079,-2.046527,-2.8467875,-3.3829253,-6.77214,-1.8893381,-2.217477,-26.617525,-27.631021,-2.8053358,-3.6406047,-8.519367,-1.8893381,-1.9485211,-2.8053358,-3.6406047
