evaluation_id,loser,match_id,official_verdict,verdict,winner
nci,mono_q_full_pn__roc__regime_2476,648163db27e99827738b7590c542eadb83e3e25643f1afaca29966e4342b3a02,VerifiedFailure,not_supported,mono_q_full_pn__roc__regime_1925
nci,mono_q_full_pn__roc__regime_2625,21f77d5db5f96440c4f82eff7be46f9f0662e090b77ef240f0e06bfffa8a8c79,VerifiedFailure,not_supported,mono_q_full_pn__roc__regime_1925
nci,mono_q_full_pn__roc__regime_2629,aa74028a7b79a53bcf273381a440554247a65327ebba2681f6bc65c7b73fda9d,VerifiedFailure,not_supported,mono_q_full_pn__roc__regime_1925
nci,mono_q_full_pn__roc__regime_2653,f1ace60d6d8b8efd239e09d5970024eef739d90d51aea0e8eac416fb79b51ecb,VerifiedFailure,not_supported,mono_q_full_pn__roc__regime_1925
nci,mono_q_full_pn__roc__regime_2676,880f8b70d5b0fa72f3352e048c9219a849353efb998ba1a8cb77b7d40e8c6755,VerifiedFailure,not_supported,mono_q_full_pn__roc__regime_1925
nci,mono_q_full_pn__roc__regime_2677,c8300b8a582423994edf60fec1730833c3ff8c0877ed224f1636bf00dc8f3e18,VerifiedFailure,not_supported,mono_q_full_pn__roc__regime_1925
nci,mono_q_full_pn__roc__regime_1750,c63b5b9cf884852778d3ce740ad2746917b2401ab9702db63c71324b14caa871,VerifiedFailure,not_supported,mono_q_full_pn__roc__regime_1976
nci,mono_q_full_pn__roc__regime_1925,a6037643566941b61bb6692a10ec391166ce3fc4eba51296dbd2a1ac6ed6cb0b,VerifiedFailure,not_supported,mono_q_full_pn__roc__regime_1976
nci,mono_q_full_pn__roc__regime_2104,a4c57cb639a4abf4b6ac5d5a0fbf7539f36d2e57c649514fabff55b1b2eeb076,VerifiedFailure,not_supported,mono_q_full_pn__roc__regime_1976
nci,mono_q_full_pn__roc__regime_2128,7fbb9b1db9f6d71d52093fbf2a76c34606c830c0e300108349bb5d1c398bee4d,VerifiedFailure,not_supported,mono_q_full_pn__roc__regime_1976
nci,mono_q_full_pn__roc__regime_2275,42d1f682c21c5a885cc4850aeb50ebb3fa8b52f1d19df44f0da3dac71724bd60,VerifiedFailure,not_supported,mono_q_full_pn__roc__regime_1976
nci,mono_q_full_pn__roc__regime_2277,8ca4d1bc7dbe7651a89df2c788cf72a888873572930a16c6bfd810aa86bfd6a6,VerifiedFailure,not_supported,mono_q_full_pn__roc__regime_1976
nci,mono_q_full_pn__roc__regime_2278,d9d1e7f926b5fc39b01749cb2650b4e29cb8ef538b94479588261dd5ab3f93b3,VerifiedFailure,not_supported,mono_q_full_pn__roc__regime_1976
nci,mono_q_full_pn__roc__regime_2279,540f40f6d0bcef96b86042c954d0ef7d3fe71ac91d591225b23dce1745b74767,VerifiedFailure,not_supported,mono_q_full_pn__roc__regime_1976
nci,mono_q_full_pn__roc__regime_2326,aaeb05a81c8e10c80275cb4e8185beb4388535e84a420a188b1ee78ecd7d93e9,VerifiedFailure,not_supported,mono_q_full_pn__roc__regime_1976
nci,mono_q_full_pn__roc__regime_2450,5fc243393d0177824a477e686cddd93668d80eda8cc5b6f1c8f40937abfefb11,VerifiedFailure,not_supported,mono_q_full_pn__roc__regime_1976
nci,mono_q_full_pn__roc__regime_2452,b6b22b761e942bfe2d6604dbe51f7e955e33431fa509348f830cbbae9e3d5a02,VerifiedFailure,not_supported,mono_q_full_pn__roc__regime_1976
nci,mono_q_full_pn__roc__regime_2453,c94309a4a019957b5908416a0ccf4f91ebaa425e19050cc100ae5fdd5fa23f11,VerifiedFailure,not_supported,mono_q_full_pn__roc__regime_1976
